X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,47
0,1,47
0,2,46
0,3,50
0,4,51
0,5,51
0,6,51
0,7,51
0,8,51
0,9,51
0,10,53
0,11,53
0,12,53
0,13,55
0,14,55
0,15,55
0,16,55
0,17,55
0,18,55
0,19,55
0,20,57
0,21,57
0,22,57
0,23,53
0,24,53
1,0,47
1,1,47
1,2,47
1,3,51
1,4,52
1,5,51
1,6,52
1,7,52
1,8,52
1,9,52
1,10,53
1,11,54
1,12,54
1,13,55
1,14,55
1,15,55
1,16,55
1,17,55
1,18,55
1,19,55
1,20,58
1,21,58
1,22,58
1,23,55
1,24,55
2,0,49
2,1,49
2,2,50
2,3,52
2,4,52
2,5,52
2,6,53
2,7,54
2,8,54
2,9,54
2,10,54
2,11,55
2,12,57
2,13,57
2,14,57
2,15,56
2,16,56
2,17,56
2,18,57
2,19,57
2,20,59
2,21,59
2,22,59
2,23,61
2,24,61
3,0,49
3,1,50
3,2,52
3,3,53
3,4,54
3,5,53
3,6,53
3,7,54
3,8,55
3,9,55
3,10,55
3,11,55
3,12,56
3,13,57
3,14,57
3,15,57
3,16,57
3,17,57
3,18,59
3,19,60
3,20,59
3,21,60
3,22,60
3,23,61
3,24,61
4,0,49
4,1,50
4,2,52
4,3,53
4,4,54
4,5,53
4,6,53
4,7,54
4,8,55
4,9,55
4,10,55
4,11,55
4,12,56
4,13,57
4,14,57
4,15,57
4,16,57
4,17,57
4,18,59
4,19,60
4,20,60
4,21,59
4,22,60
4,23,61
4,24,61
5,0,49
5,1,50
5,2,51
5,3,53
5,4,53
5,5,52
5,6,53
5,7,54
5,8,55
5,9,55
5,10,54
5,11,54
5,12,56
5,13,56
5,14,56
5,15,57
5,16,57
5,17,57
5,18,59
5,19,60
5,20,60
5,21,60
5,22,60
5,23,58
5,24,57
6,0,53
6,1,53
6,2,54
6,3,55
6,4,55
6,5,54
6,6,54
6,7,53
6,8,54
6,9,55
6,10,55
6,11,54
6,12,56
6,13,56
6,14,56
6,15,58
6,16,58
6,17,58
6,18,59
6,19,60
6,20,60
6,21,60
6,22,60
6,23,60
6,24,60
7,0,52
7,1,53
7,2,54
7,3,55
7,4,54
7,5,54
7,6,54
7,7,53
7,8,54
7,9,55
7,10,55
7,11,54
7,12,56
7,13,56
7,14,56
7,15,58
7,16,58
7,17,59
7,18,59
7,19,60
7,20,60
7,21,60
7,22,60
7,23,61
7,24,61
8,0,51
8,1,53
8,2,54
8,3,55
8,4,55
8,5,53
8,6,54
8,7,54
8,8,53
8,9,54
8,10,57
8,11,57
8,12,56
8,13,56
8,14,56
8,15,57
8,16,57
8,17,57
8,18,59
8,19,60
8,20,60
8,21,60
8,22,60
8,23,61
8,24,61
9,0,51
9,1,53
9,2,54
9,3,54
9,4,55
9,5,53
9,6,53
9,7,54
9,8,53
9,9,54
9,10,57
9,11,57
9,12,56
9,13,54
9,14,54
9,15,54
9,16,54
9,17,56
9,18,58
9,19,60
9,20,60
9,21,60
9,22,60
9,23,61
9,24,61
10,0,52
10,1,53
10,2,54
10,3,54
10,4,54
10,5,53
10,6,53
10,7,53
10,8,56
10,9,56
10,10,56
10,11,56
10,12,56
10,13,53
10,14,53
10,15,56
10,16,57
10,17,58
10,18,59
10,19,59
10,20,60
10,21,60
10,22,60
10,23,61
10,24,61
11,0,51
11,1,53
11,2,53
11,3,53
11,4,53
11,5,53
11,6,53
11,7,54
11,8,54
11,9,54
11,10,56
11,11,56
11,12,55
11,13,55
11,14,56
11,15,53
11,16,54
11,17,56
11,18,58
11,19,59
11,20,56
11,21,55
11,22,60
11,23,60
11,24,60
12,0,51
12,1,53
12,2,53
12,3,53
12,4,53
12,5,53
12,6,53
12,7,54
12,8,54
12,9,54
12,10,56
12,11,56
12,12,56
12,13,56
12,14,56
12,15,53
12,16,54
12,17,56
12,18,58
12,19,59
12,20,55
12,21,52
12,22,46
12,23,48
12,24,48
13,0,53
13,1,56
13,2,53
13,3,53
13,4,53
13,5,53
13,6,53
13,7,54
13,8,54
13,9,54
13,10,54
13,11,54
13,12,54
13,13,56
13,14,56
13,15,53
13,16,52
13,17,46
13,18,53
13,19,48
13,20,50
13,21,45
13,22,27
13,23,28
13,24,29
14,0,53
14,1,53
14,2,53
14,3,53
14,4,53
14,5,53
14,6,53
14,7,53
14,8,53
14,9,53
14,10,54
14,11,54
14,12,54
14,13,54
14,14,54
14,15,53
14,16,52
14,17,29
14,18,41
14,19,36
14,20,40
14,21,36
14,22,24
14,23,28
14,24,26
15,0,52
15,1,52
15,2,53
15,3,53
15,4,53
15,5,53
15,6,53
15,7,53
15,8,53
15,9,53
15,10,54
15,11,54
15,12,54
15,13,54
15,14,54
15,15,53
15,16,38
15,17,24
15,18,38
15,19,36
15,20,30
15,21,26
15,22,28
15,23,24
15,24,23
