X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,206
0,1,220
0,2,225
0,3,184
0,4,219
0,5,181
0,6,246
0,7,252
0,8,237
0,9,235
0,10,121
0,11,126
0,12,164
0,13,112
0,14,121
0,15,119
0,16,157
0,17,111
0,18,187
0,19,218
0,20,222
0,21,232
0,22,231
0,23,218
0,24,184
1,0,144
1,1,109
1,2,72
1,3,136
1,4,172
1,5,139
1,6,226
1,7,231
1,8,232
1,9,229
1,10,237
1,11,43
1,12,41
1,13,48
1,14,76
1,15,83
1,16,65
1,17,114
1,18,102
1,19,156
1,20,189
1,21,186
1,22,195
1,23,206
1,24,134
2,0,73
2,1,151
2,2,142
2,3,62
2,4,97
2,5,115
2,6,110
2,7,207
2,8,217
2,9,216
2,10,218
2,11,214
2,12,64
2,13,44
2,14,37
2,15,36
2,16,34
2,17,61
2,18,102
2,19,131
2,20,128
2,21,182
2,22,166
2,23,162
2,24,67
3,0,44
3,1,46
3,2,62
3,3,148
3,4,154
3,5,127
3,6,35
3,7,69
3,8,214
3,9,219
3,10,218
3,11,215
3,12,208
3,13,201
3,14,53
3,15,26
3,16,24
3,17,34
3,18,38
3,19,118
3,20,105
3,21,122
3,22,109
3,23,127
3,24,101
4,0,82
4,1,50
4,2,133
4,3,127
4,4,149
4,5,175
4,6,150
4,7,168
4,8,218
4,9,223
4,10,225
4,11,213
4,12,209
4,13,212
4,14,200
4,15,148
4,16,130
4,17,30
4,18,9
4,19,42
4,20,83
4,21,71
4,22,56
4,23,118
4,24,15
5,0,73
5,1,127
5,2,89
5,3,143
5,4,151
5,5,172
5,6,164
5,7,222
5,8,227
5,9,220
5,10,224
5,11,202
5,12,197
5,13,252
5,14,241
5,15,198
5,16,197
5,17,232
5,18,159
5,19,9
5,20,25
5,21,88
5,22,8
5,23,19
5,24,32
6,0,122
6,1,148
6,2,168
6,3,175
6,4,146
6,5,170
6,6,189
6,7,171
6,8,172
6,9,160
6,10,141
6,11,183
6,12,206
6,13,200
6,14,201
6,15,207
6,16,166
6,17,184
6,18,84
6,19,51
6,20,4
6,21,3
6,22,29
6,23,13
6,24,22
7,0,116
7,1,95
7,2,155
7,3,165
7,4,121
7,5,143
7,6,154
7,7,151
7,8,155
7,9,132
7,10,195
7,11,168
7,12,171
7,13,171
7,14,194
7,15,200
7,16,229
7,17,254
7,18,204
7,19,233
7,20,58
7,21,23
7,22,2
7,23,1
7,24,2
8,0,93
8,1,116
8,2,80
8,3,110
8,4,139
8,5,97
8,6,92
8,7,127
8,8,111
8,9,99
8,10,109
8,11,113
8,12,125
8,13,135
8,14,195
8,15,220
8,16,168
8,17,147
8,18,108
8,19,180
8,20,167
8,21,170
8,22,32
8,23,143
8,24,23
9,0,82
9,1,85
9,2,92
9,3,113
9,4,92
9,5,77
9,6,70
9,7,87
9,8,55
9,9,111
9,10,147
9,11,130
9,12,125
9,13,184
9,14,129
9,15,142
9,16,179
9,17,182
9,18,153
9,19,189
9,20,213
9,21,87
9,22,82
9,23,172
9,24,93
10,0,84
10,1,96
10,2,78
10,3,74
10,4,69
10,5,102
10,6,106
10,7,99
10,8,103
10,9,89
10,10,104
10,11,171
10,12,146
10,13,90
10,14,77
10,15,110
10,16,166
10,17,185
10,18,129
10,19,203
10,20,163
10,21,154
10,22,195
10,23,187
10,24,114
11,0,63
11,1,104
11,2,76
11,3,85
11,4,77
11,5,123
11,6,95
11,7,102
11,8,133
11,9,117
11,10,92
11,11,92
11,12,132
11,13,93
11,14,113
11,15,117
11,16,83
11,17,160
11,18,138
11,19,163
11,20,170
11,21,168
11,22,185
11,23,65
11,24,187
12,0,70
12,1,99
12,2,81
12,3,125
12,4,105
12,5,121
12,6,98
12,7,104
12,8,97
12,9,104
12,10,114
12,11,90
12,12,60
12,13,77
12,14,200
12,15,133
12,16,83
12,17,124
12,18,139
12,19,115
12,20,94
12,21,173
12,22,177
12,23,177
12,24,164
13,0,78
13,1,86
13,2,69
13,3,97
13,4,81
13,5,119
13,6,88
13,7,111
13,8,131
13,9,95
13,10,152
13,11,91
13,12,55
13,13,29
13,14,67
13,15,57
13,16,78
13,17,66
13,18,48
13,19,127
13,20,182
13,21,117
13,22,181
13,23,159
13,24,108
14,0,101
14,1,97
14,2,97
14,3,119
14,4,117
14,5,94
14,6,127
14,7,99
14,8,106
14,9,117
14,10,83
14,11,107
14,12,45
14,13,66
14,14,57
14,15,82
14,16,80
14,17,94
14,18,57
14,19,77
14,20,166
14,21,111
14,22,93
14,23,117
14,24,43
15,0,91
15,1,75
15,2,135
15,3,96
15,4,101
15,5,107
15,6,104
15,7,108
15,8,80
15,9,124
15,10,123
15,11,94
15,12,84
15,13,112
15,14,97
15,15,72
15,16,91
15,17,68
15,18,57
15,19,67
15,20,105
15,21,132
15,22,67
15,23,137
15,24,102
