X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,201
0,1,207
0,2,210
0,3,213
0,4,217
0,5,215
0,6,238
0,7,233
0,8,220
0,9,222
0,10,225
0,11,236
0,12,241
0,13,232
0,14,232
0,15,235
0,16,238
0,17,243
0,18,244
0,19,245
0,20,247
0,21,248
0,22,249
0,23,249
0,24,250
1,0,202
1,1,205
1,2,219
1,3,223
1,4,220
1,5,216
1,6,221
1,7,236
1,8,235
1,9,224
1,10,223
1,11,230
1,12,241
1,13,236
1,14,232
1,15,236
1,16,241
1,17,242
1,18,243
1,19,245
1,20,247
1,21,248
1,22,249
1,23,250
1,24,252
2,0,223
2,1,221
2,2,224
2,3,222
2,4,220
2,5,216
2,6,224
2,7,222
2,8,225
2,9,227
2,10,220
2,11,224
2,12,232
2,13,241
2,14,231
2,15,236
2,16,243
2,17,244
2,18,245
2,19,245
2,20,248
2,21,248
2,22,249
2,23,250
2,24,252
3,0,224
3,1,228
3,2,221
3,3,216
3,4,219
3,5,220
3,6,216
3,7,217
3,8,218
3,9,229
3,10,231
3,11,216
3,12,222
3,13,228
3,14,232
3,15,235
3,16,238
3,17,243
3,18,246
3,19,247
3,20,248
3,21,248
3,22,250
3,23,251
3,24,252
4,0,224
4,1,227
4,2,228
4,3,236
4,4,216
4,5,220
4,6,223
4,7,223
4,8,221
4,9,221
4,10,233
4,11,224
4,12,218
4,13,220
4,14,222
4,15,231
4,16,236
4,17,242
4,18,245
4,19,247
4,20,247
4,21,249
4,22,250
4,23,250
4,24,252
5,0,222
5,1,224
5,2,223
5,3,228
5,4,222
5,5,220
5,6,222
5,7,224
5,8,226
5,9,230
5,10,230
5,11,236
5,12,220
5,13,217
5,14,223
5,15,224
5,16,236
5,17,240
5,18,245
5,19,248
5,20,248
5,21,242
5,22,250
5,23,249
5,24,252
6,0,222
6,1,223
6,2,223
6,3,219
6,4,216
6,5,215
6,6,217
6,7,224
6,8,224
6,9,225
6,10,228
6,11,231
6,12,229
6,13,230
6,14,223
6,15,228
6,16,231
6,17,230
6,18,244
6,19,246
6,20,204
6,21,189
6,22,136
6,23,105
6,24,121
7,0,221
7,1,219
7,2,219
7,3,220
7,4,216
7,5,216
7,6,221
7,7,224
7,8,224
7,9,224
7,10,227
7,11,228
7,12,229
7,13,229
7,14,220
7,15,221
7,16,223
7,17,150
7,18,244
7,19,216
7,20,231
7,21,149
7,22,108
7,23,162
7,24,139
8,0,223
8,1,222
8,2,216
8,3,218
8,4,217
8,5,217
8,6,223
8,7,223
8,8,223
8,9,223
8,10,224
8,11,224
8,12,226
8,13,228
8,14,221
8,15,221
8,16,188
8,17,119
8,18,191
8,19,147
8,20,172
8,21,141
8,22,163
8,23,105
8,24,128
9,0,220
9,1,220
9,2,220
9,3,220
9,4,220
9,5,218
9,6,217
9,7,218
9,8,223
9,9,223
9,10,222
9,11,223
9,12,224
9,13,227
9,14,221
9,15,222
9,16,110
9,17,119
9,18,184
9,19,167
9,20,179
9,21,127
9,22,147
9,23,103
9,24,115
10,0,216
10,1,217
10,2,220
10,3,219
10,4,219
10,5,219
10,6,217
10,7,217
10,8,221
10,9,222
10,10,222
10,11,223
10,12,224
10,13,223
10,14,222
10,15,218
10,16,86
10,17,115
10,18,169
10,19,139
10,20,113
10,21,132
10,22,119
10,23,123
10,24,110
11,0,217
11,1,217
11,2,217
11,3,217
11,4,217
11,5,218
11,6,219
11,7,219
11,8,219
11,9,220
11,10,222
11,11,223
11,12,172
11,13,222
11,14,217
11,15,100
11,16,75
11,17,85
11,18,116
11,19,124
11,20,123
11,21,115
11,22,126
11,23,111
11,24,135
12,0,217
12,1,217
12,2,216
12,3,217
12,4,217
12,5,219
12,6,219
12,7,219
12,8,219
12,9,220
12,10,219
12,11,223
12,12,160
12,13,161
12,14,147
12,15,69
12,16,104
12,17,95
12,18,87
12,19,92
12,20,132
12,21,111
12,22,98
12,23,113
12,24,92
13,0,218
13,1,214
13,2,190
13,3,180
13,4,175
13,5,173
13,6,175
13,7,174
13,8,176
13,9,175
13,10,178
13,11,181
13,12,145
13,13,90
13,14,106
13,15,69
13,16,75
13,17,92
13,18,82
13,19,82
13,20,106
13,21,129
13,22,89
13,23,85
13,24,91
14,0,148
14,1,145
14,2,144
14,3,139
14,4,141
14,5,147
14,6,145
14,7,149
14,8,149
14,9,167
14,10,98
14,11,69
14,12,95
14,13,102
14,14,94
14,15,82
14,16,81
14,17,88
14,18,79
14,19,77
14,20,124
14,21,83
14,22,89
14,23,79
14,24,100
15,0,142
15,1,145
15,2,137
15,3,138
15,4,132
15,5,134
15,6,129
15,7,134
15,8,135
15,9,144
15,10,111
15,11,113
15,12,87
15,13,83
15,14,90
15,15,77
15,16,74
15,17,101
15,18,80
15,19,82
15,20,81
15,21,98
15,22,84
15,23,96
15,24,100
