X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,236
0,1,235
0,2,238
0,3,238
0,4,231
0,5,236
0,6,236
0,7,238
0,8,242
0,9,244
0,10,247
0,11,242
0,12,231
0,13,231
0,14,235
0,15,247
0,16,246
0,17,248
0,18,250
0,19,250
0,20,213
0,21,217
0,22,148
0,23,132
0,24,144
1,0,234
1,1,233
1,2,233
1,3,227
1,4,227
1,5,229
1,6,233
1,7,236
1,8,236
1,9,242
1,10,244
1,11,243
1,12,245
1,13,234
1,14,241
1,15,242
1,16,245
1,17,167
1,18,250
1,19,251
1,20,243
1,21,150
1,22,128
1,23,129
1,24,172
2,0,230
2,1,230
2,2,230
2,3,228
2,4,226
2,5,227
2,6,234
2,7,236
2,8,237
2,9,239
2,10,239
2,11,243
2,12,242
2,13,243
2,14,233
2,15,232
2,16,202
2,17,149
2,18,228
2,19,207
2,20,143
2,21,160
2,22,152
2,23,139
2,24,148
3,0,235
3,1,230
3,2,229
3,3,228
3,4,227
3,5,229
3,6,234
3,7,235
3,8,235
3,9,235
3,10,235
3,11,238
3,12,241
3,13,243
3,14,230
3,15,231
3,16,103
3,17,137
3,18,188
3,19,215
3,20,209
3,21,152
3,22,156
3,23,131
3,24,146
4,0,230
4,1,230
4,2,229
4,3,230
4,4,229
4,5,229
4,6,230
4,7,232
4,8,235
4,9,235
4,10,234
4,11,236
4,12,237
4,13,241
4,14,231
4,15,225
4,16,111
4,17,128
4,18,191
4,19,185
4,20,134
4,21,159
4,22,118
4,23,113
4,24,131
5,0,228
5,1,228
5,2,229
5,3,229
5,4,229
5,5,229
5,6,228
5,7,230
5,8,233
5,9,234
5,10,235
5,11,236
5,12,229
5,13,231
5,14,231
5,15,108
5,16,99
5,17,101
5,18,133
5,19,151
5,20,130
5,21,137
5,22,127
5,23,98
5,24,107
6,0,228
6,1,228
6,2,228
6,3,228
6,4,229
6,5,228
6,6,229
6,7,230
6,8,230
6,9,232
6,10,233
6,11,234
6,12,163
6,13,228
6,14,200
6,15,62
6,16,83
6,17,107
6,18,88
6,19,99
6,20,161
6,21,129
6,22,120
6,23,100
6,24,151
7,0,228
7,1,228
7,2,228
7,3,228
7,4,229
7,5,229
7,6,229
7,7,230
7,8,229
7,9,230
7,10,227
7,11,167
7,12,139
7,13,146
7,14,134
7,15,76
7,16,86
7,17,120
7,18,81
7,19,84
7,20,108
7,21,107
7,22,80
7,23,139
7,24,127
8,0,227
8,1,227
8,2,226
8,3,223
8,4,207
8,5,192
8,6,194
8,7,193
8,8,195
8,9,215
8,10,130
8,11,147
8,12,98
8,13,121
8,14,113
8,15,77
8,16,86
8,17,128
8,18,76
8,19,78
8,20,116
8,21,87
8,22,84
8,23,97
8,24,108
9,0,168
9,1,163
9,2,159
9,3,160
9,4,160
9,5,160
9,6,163
9,7,166
9,8,170
9,9,170
9,10,104
9,11,88
9,12,102
9,13,94
9,14,85
9,15,80
9,16,57
9,17,68
9,18,65
9,19,68
9,20,74
9,21,105
9,22,105
9,23,84
9,24,81
10,0,162
10,1,164
10,2,167
10,3,182
10,4,165
10,5,162
10,6,163
10,7,162
10,8,163
10,9,163
10,10,142
10,11,88
10,12,87
10,13,83
10,14,104
10,15,58
10,16,110
10,17,67
10,18,71
10,19,58
10,20,74
10,21,119
10,22,84
10,23,106
10,24,74
11,0,183
11,1,174
11,2,187
11,3,202
11,4,206
11,5,193
11,6,165
11,7,165
11,8,192
11,9,187
11,10,119
11,11,86
11,12,82
11,13,107
11,14,66
11,15,111
11,16,95
11,17,100
11,18,117
11,19,116
11,20,110
11,21,105
11,22,101
11,23,96
11,24,91
12,0,166
12,1,183
12,2,154
12,3,168
12,4,192
12,5,205
12,6,187
12,7,195
12,8,174
12,9,153
12,10,140
12,11,121
12,12,106
12,13,97
12,14,91
12,15,86
12,16,83
12,17,88
12,18,89
12,19,90
12,20,92
12,21,88
12,22,86
12,23,85
12,24,79
13,0,156
13,1,126
13,2,138
13,3,153
13,4,152
13,5,169
13,6,144
13,7,152
13,8,182
13,9,226
13,10,219
13,11,170
13,12,162
13,13,171
13,14,172
13,15,160
13,16,138
13,17,124
13,18,106
13,19,128
13,20,193
13,21,138
13,22,105
13,23,111
13,24,67
14,0,125
14,1,156
14,2,169
14,3,140
14,4,149
14,5,164
14,6,149
14,7,119
14,8,136
14,9,155
14,10,160
14,11,136
14,12,162
14,13,151
14,14,135
14,15,167
14,16,178
14,17,163
14,18,154
14,19,154
14,20,163
14,21,176
14,22,179
14,23,167
14,24,166
15,0,153
15,1,177
15,2,152
15,3,129
15,4,119
15,5,72
15,6,130
15,7,128
15,8,153
15,9,147
15,10,170
15,11,181
15,12,168
15,13,135
15,14,114
15,15,167
15,16,174
15,17,148
15,18,158
15,19,175
15,20,129
15,21,125
15,22,167
15,23,170
15,24,173
