X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,229
0,1,231
0,2,236
0,3,231
0,4,224
0,5,230
0,6,229
0,7,234
0,8,232
0,9,230
0,10,243
0,11,232
0,12,221
0,13,224
0,14,230
0,15,240
0,16,244
0,17,248
0,18,248
0,19,248
0,20,224
0,21,220
0,22,163
0,23,175
0,24,150
1,0,228
1,1,228
1,2,228
1,3,227
1,4,222
1,5,226
1,6,227
1,7,230
1,8,229
1,9,237
1,10,240
1,11,238
1,12,240
1,13,228
1,14,235
1,15,234
1,16,241
1,17,180
1,18,249
1,19,248
1,20,249
1,21,160
1,22,109
1,23,161
1,24,138
2,0,227
2,1,227
2,2,228
2,3,222
2,4,221
2,5,220
2,6,228
2,7,231
2,8,231
2,9,233
2,10,232
2,11,238
2,12,234
2,13,240
2,14,229
2,15,237
2,16,247
2,17,135
2,18,247
2,19,192
2,20,152
2,21,116
2,22,157
2,23,133
2,24,139
3,0,228
3,1,221
3,2,222
3,3,224
3,4,222
3,5,226
3,6,228
3,7,229
3,8,229
3,9,229
3,10,231
3,11,233
3,12,236
3,13,238
3,14,226
3,15,226
3,16,131
3,17,141
3,18,173
3,19,211
3,20,173
3,21,131
3,22,155
3,23,115
3,24,119
4,0,226
4,1,226
4,2,226
4,3,226
4,4,224
4,5,225
4,6,228
4,7,229
4,8,229
4,9,229
4,10,229
4,11,229
4,12,229
4,13,235
4,14,226
4,15,227
4,16,107
4,17,135
4,18,184
4,19,230
4,20,146
4,21,117
4,22,130
4,23,138
4,24,123
5,0,225
5,1,227
5,2,226
5,3,224
5,4,225
5,5,225
5,6,223
5,7,227
5,8,229
5,9,229
5,10,229
5,11,229
5,12,231
5,13,230
5,14,225
5,15,142
5,16,110
5,17,113
5,18,134
5,19,142
5,20,141
5,21,120
5,22,134
5,23,118
5,24,133
6,0,223
6,1,223
6,2,223
6,3,225
6,4,224
6,5,225
6,6,225
6,7,225
6,8,227
6,9,228
6,10,227
6,11,227
6,12,178
6,13,226
6,14,170
6,15,85
6,16,68
6,17,84
6,18,112
6,19,100
6,20,146
6,21,113
6,22,98
6,23,104
6,24,134
7,0,223
7,1,223
7,2,223
7,3,223
7,4,224
7,5,224
7,6,225
7,7,227
7,8,226
7,9,227
7,10,227
7,11,195
7,12,171
7,13,151
7,14,141
7,15,85
7,16,99
7,17,86
7,18,114
7,19,88
7,20,121
7,21,110
7,22,97
7,23,108
7,24,108
8,0,226
8,1,222
8,2,223
8,3,223
8,4,225
8,5,224
8,6,220
8,7,218
8,8,211
8,9,200
8,10,167
8,11,138
8,12,108
8,13,116
8,14,89
8,15,103
8,16,81
8,17,133
8,18,85
8,19,80
8,20,129
8,21,90
8,22,102
8,23,89
8,24,117
9,0,162
9,1,160
9,2,159
9,3,164
9,4,161
9,5,162
9,6,159
9,7,165
9,8,173
9,9,181
9,10,93
9,11,113
9,12,113
9,13,141
9,14,104
9,15,92
9,16,79
9,17,105
9,18,71
9,19,72
9,20,105
9,21,96
9,22,81
9,23,104
9,24,94
10,0,149
10,1,148
10,2,129
10,3,138
10,4,134
10,5,136
10,6,128
10,7,142
10,8,156
10,9,165
10,10,169
10,11,100
10,12,107
10,13,92
10,14,84
10,15,79
10,16,85
10,17,85
10,18,75
10,19,61
10,20,71
10,21,116
10,22,97
10,23,102
10,24,97
11,0,152
11,1,170
11,2,184
11,3,188
11,4,160
11,5,149
11,6,149
11,7,151
11,8,176
11,9,144
11,10,118
11,11,114
11,12,89
11,13,91
11,14,72
11,15,102
11,16,53
11,17,79
11,18,61
11,19,61
11,20,97
11,21,94
11,22,77
11,23,100
11,24,86
12,0,177
12,1,177
12,2,176
12,3,179
12,4,153
12,5,195
12,6,184
12,7,187
12,8,190
12,9,142
12,10,124
12,11,118
12,12,146
12,13,136
12,14,139
12,15,120
12,16,106
12,17,95
12,18,89
12,19,92
12,20,93
12,21,91
12,22,88
12,23,82
12,24,80
13,0,166
13,1,165
13,2,147
13,3,162
13,4,177
13,5,170
13,6,129
13,7,160
13,8,119
13,9,122
13,10,110
13,11,111
13,12,108
13,13,102
13,14,103
13,15,97
13,16,92
13,17,88
13,18,93
13,19,96
13,20,88
13,21,90
13,22,87
13,23,83
13,24,76
14,0,127
14,1,137
14,2,136
14,3,131
14,4,139
14,5,154
14,6,131
14,7,125
14,8,146
14,9,200
14,10,164
14,11,129
14,12,138
14,13,161
14,14,146
14,15,112
14,16,106
14,17,111
14,18,118
14,19,106
14,20,87
14,21,84
14,22,103
14,23,84
14,24,108
15,0,113
15,1,129
15,2,94
15,3,110
15,4,114
15,5,81
15,6,110
15,7,133
15,8,124
15,9,124
15,10,124
15,11,138
15,12,149
15,13,136
15,14,97
15,15,141
15,16,116
15,17,165
15,18,146
15,19,128
15,20,169
15,21,186
15,22,147
15,23,160
15,24,152
