X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,205
0,1,209
0,2,209
0,3,212
0,4,213
0,5,214
0,6,215
0,7,216
0,8,219
0,9,220
0,10,222
0,11,223
0,12,227
0,13,229
0,14,230
0,15,230
0,16,231
0,17,235
0,18,234
0,19,237
0,20,241
0,21,243
0,22,244
0,23,245
0,24,247
1,0,201
1,1,205
1,2,210
1,3,215
1,4,214
1,5,216
1,6,217
1,7,220
1,8,220
1,9,221
1,10,227
1,11,229
1,12,230
1,13,232
1,14,232
1,15,234
1,16,236
1,17,238
1,18,240
1,19,243
1,20,246
1,21,247
1,22,248
1,23,248
1,24,249
2,0,202
2,1,205
2,2,208
2,3,211
2,4,218
2,5,214
2,6,228
2,7,242
2,8,220
2,9,222
2,10,220
2,11,233
2,12,237
2,13,230
2,14,231
2,15,235
2,16,239
2,17,244
2,18,243
2,19,246
2,20,248
2,21,249
2,22,249
2,23,250
2,24,250
3,0,204
3,1,220
3,2,221
3,3,223
3,4,220
3,5,216
3,6,220
3,7,235
3,8,234
3,9,224
3,10,223
3,11,229
3,12,238
3,13,245
3,14,231
3,15,236
3,16,241
3,17,244
3,18,244
3,19,246
3,20,248
3,21,248
3,22,250
3,23,250
3,24,252
4,0,219
4,1,221
4,2,223
4,3,221
4,4,221
4,5,218
4,6,224
4,7,221
4,8,221
4,9,226
4,10,222
4,11,221
4,12,230
4,13,237
4,14,233
4,15,235
4,16,241
4,17,244
4,18,247
4,19,248
4,20,248
4,21,248
4,22,250
4,23,251
4,24,252
5,0,222
5,1,224
5,2,224
5,3,216
5,4,217
5,5,219
5,6,216
5,7,216
5,8,218
5,9,225
5,10,236
5,11,217
5,12,220
5,13,224
5,14,230
5,15,234
5,16,237
5,17,244
5,18,245
5,19,247
5,20,248
5,21,248
5,22,249
5,23,250
5,24,251
6,0,221
6,1,227
6,2,225
6,3,237
6,4,216
6,5,220
6,6,224
6,7,226
6,8,227
6,9,217
6,10,225
6,11,235
6,12,218
6,13,219
6,14,222
6,15,229
6,16,237
6,17,241
6,18,245
6,19,247
6,20,247
6,21,249
6,22,250
6,23,250
6,24,250
7,0,220
7,1,223
7,2,224
7,3,226
7,4,228
7,5,217
7,6,220
7,7,222
7,8,226
7,9,226
7,10,230
7,11,232
7,12,227
7,13,216
7,14,225
7,15,221
7,16,232
7,17,235
7,18,245
7,19,247
7,20,248
7,21,249
7,22,249
7,23,250
7,24,250
8,0,221
8,1,223
8,2,222
8,3,220
8,4,216
8,5,215
8,6,216
8,7,224
8,8,227
8,9,226
8,10,228
8,11,232
8,12,227
8,13,232
8,14,221
8,15,228
8,16,234
8,17,233
8,18,244
8,19,248
8,20,218
8,21,220
8,22,162
8,23,166
8,24,162
9,0,223
9,1,216
9,2,217
9,3,219
9,4,216
9,5,216
9,6,223
9,7,223
9,8,223
9,9,223
9,10,226
9,11,226
9,12,229
9,13,227
9,14,220
9,15,220
9,16,221
9,17,163
9,18,241
9,19,237
9,20,249
9,21,145
9,22,101
9,23,120
9,24,126
10,0,222
10,1,222
10,2,217
10,3,219
10,4,219
10,5,217
10,6,221
10,7,222
10,8,223
10,9,223
10,10,223
10,11,223
10,12,227
10,13,227
10,14,221
10,15,221
10,16,223
10,17,119
10,18,188
10,19,146
10,20,135
10,21,144
10,22,132
10,23,129
10,24,97
11,0,219
11,1,219
11,2,220
11,3,220
11,4,220
11,5,217
11,6,216
11,7,216
11,8,222
11,9,223
11,10,222
11,11,223
11,12,224
11,13,226
11,14,220
11,15,221
11,16,130
11,17,135
11,18,159
11,19,149
11,20,153
11,21,116
11,22,127
11,23,116
11,24,117
12,0,217
12,1,216
12,2,218
12,3,219
12,4,219
12,5,219
12,6,219
12,7,217
12,8,220
12,9,222
12,10,222
12,11,223
12,12,223
12,13,223
12,14,221
12,15,222
12,16,101
12,17,118
12,18,154
12,19,167
12,20,126
12,21,99
12,22,131
12,23,108
12,24,123
13,0,217
13,1,217
13,2,216
13,3,217
13,4,217
13,5,217
13,6,219
13,7,219
13,8,220
13,9,220
13,10,221
13,11,222
13,12,176
13,13,222
13,14,226
13,15,110
13,16,98
13,17,95
13,18,116
13,19,126
13,20,114
13,21,101
13,22,105
13,23,109
13,24,102
14,0,217
14,1,217
14,2,217
14,3,217
14,4,217
14,5,219
14,6,217
14,7,217
14,8,220
14,9,220
14,10,221
14,11,206
14,12,148
14,13,151
14,14,151
14,15,86
14,16,60
14,17,89
14,18,106
14,19,88
14,20,107
14,21,121
14,22,108
14,23,106
14,24,124
15,0,219
15,1,173
15,2,160
15,3,176
15,4,169
15,5,169
15,6,169
15,7,173
15,8,175
15,9,177
15,10,164
15,11,149
15,12,90
15,13,123
15,14,106
15,15,66
15,16,125
15,17,110
15,18,104
15,19,80
15,20,111
15,21,103
15,22,107
15,23,85
15,24,100
