X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,206
0,1,207
0,2,209
0,3,210
0,4,210
0,5,208
0,6,209
0,7,211
0,8,214
0,9,215
0,10,216
0,11,221
0,12,222
0,13,224
0,14,228
0,15,229
0,16,229
0,17,228
0,18,228
0,19,229
0,20,232
0,21,235
0,22,236
0,23,242
0,24,242
1,0,206
1,1,207
1,2,209
1,3,212
1,4,212
1,5,214
1,6,213
1,7,216
1,8,216
1,9,217
1,10,221
1,11,223
1,12,225
1,13,229
1,14,228
1,15,229
1,16,230
1,17,231
1,18,231
1,19,232
1,20,236
1,21,238
1,22,242
1,23,244
1,24,246
2,0,202
2,1,206
2,2,209
2,3,213
2,4,214
2,5,213
2,6,215
2,7,219
2,8,220
2,9,222
2,10,227
2,11,227
2,12,228
2,13,231
2,14,232
2,15,232
2,16,234
2,17,236
2,18,238
2,19,242
2,20,246
2,21,247
2,22,247
2,23,248
2,24,249
3,0,201
3,1,206
3,2,210
3,3,213
3,4,214
3,5,214
3,6,235
3,7,219
3,8,220
3,9,222
3,10,226
3,11,234
3,12,235
3,13,232
3,14,232
3,15,235
3,16,236
3,17,242
3,18,243
3,19,246
3,20,247
3,21,248
3,22,248
3,23,249
3,24,250
4,0,201
4,1,205
4,2,209
4,3,221
4,4,220
4,5,216
4,6,221
4,7,240
4,8,221
4,9,222
4,10,222
4,11,227
4,12,240
4,13,235
4,14,231
4,15,235
4,16,240
4,17,242
4,18,244
4,19,246
4,20,248
4,21,248
4,22,249
4,23,250
4,24,251
5,0,215
5,1,223
5,2,221
5,3,223
5,4,224
5,5,213
5,6,222
5,7,225
5,8,228
5,9,228
5,10,221
5,11,224
5,12,234
5,13,241
5,14,234
5,15,235
5,16,241
5,17,244
5,18,246
5,19,246
5,20,248
5,21,249
5,22,250
5,23,251
5,24,251
6,0,224
6,1,225
6,2,219
6,3,219
6,4,217
6,5,219
6,6,219
6,7,217
6,8,216
6,9,224
6,10,231
6,11,218
6,12,221
6,13,234
6,14,231
6,15,235
6,16,238
6,17,244
6,18,245
6,19,245
6,20,247
6,21,249
6,22,250
6,23,250
6,24,250
7,0,219
7,1,227
7,2,231
7,3,236
7,4,217
7,5,217
7,6,219
7,7,220
7,8,220
7,9,217
7,10,229
7,11,226
7,12,216
7,13,220
7,14,223
7,15,232
7,16,235
7,17,242
7,18,245
7,19,245
7,20,247
7,21,249
7,22,250
7,23,250
7,24,250
8,0,220
8,1,224
8,2,225
8,3,227
8,4,221
8,5,217
8,6,223
8,7,224
8,8,226
8,9,230
8,10,226
8,11,239
8,12,220
8,13,220
8,14,221
8,15,223
8,16,235
8,17,241
8,18,245
8,19,247
8,20,247
8,21,248
8,22,249
8,23,250
8,24,250
9,0,220
9,1,223
9,2,223
9,3,222
9,4,220
9,5,214
9,6,216
9,7,222
9,8,227
9,9,226
9,10,229
9,11,231
9,12,229
9,13,227
9,14,220
9,15,229
9,16,229
9,17,234
9,18,243
9,19,248
9,20,248
9,21,250
9,22,250
9,23,250
9,24,251
10,0,221
10,1,220
10,2,221
10,3,221
10,4,216
10,5,215
10,6,220
10,7,223
10,8,224
10,9,225
10,10,226
10,11,228
10,12,228
10,13,229
10,14,218
10,15,221
10,16,225
10,17,230
10,18,235
10,19,249
10,20,224
10,21,187
10,22,175
10,23,146
10,24,166
11,0,224
11,1,221
11,2,215
11,3,217
11,4,217
11,5,217
11,6,222
11,7,223
11,8,223
11,9,223
11,10,224
11,11,224
11,12,228
11,13,227
11,14,223
11,15,220
11,16,220
11,17,164
11,18,236
11,19,223
11,20,218
11,21,175
11,22,124
11,23,125
11,24,133
12,0,220
12,1,220
12,2,221
12,3,219
12,4,220
12,5,219
12,6,217
12,7,220
12,8,222
12,9,222
12,10,222
12,11,222
12,12,224
12,13,225
12,14,222
12,15,221
12,16,225
12,17,115
12,18,187
12,19,146
12,20,147
12,21,170
12,22,113
12,23,194
12,24,113
13,0,217
13,1,219
13,2,220
13,3,220
13,4,220
13,5,219
13,6,217
13,7,217
13,8,222
13,9,222
13,10,222
13,11,222
13,12,223
13,13,228
13,14,221
13,15,221
13,16,126
13,17,105
13,18,188
13,19,148
13,20,151
13,21,145
13,22,145
13,23,107
13,24,137
14,0,216
14,1,216
14,2,217
14,3,217
14,4,217
14,5,218
14,6,219
14,7,217
14,8,220
14,9,220
14,10,222
14,11,222
14,12,220
14,13,222
14,14,222
14,15,224
14,16,106
14,17,114
14,18,161
14,19,158
14,20,130
14,21,103
14,22,132
14,23,97
14,24,87
15,0,217
15,1,217
15,2,217
15,3,217
15,4,217
15,5,219
15,6,219
15,7,219
15,8,219
15,9,219
15,10,220
15,11,222
15,12,169
15,13,185
15,14,164
15,15,114
15,16,95
15,17,90
15,18,117
15,19,127
15,20,128
15,21,100
15,22,117
15,23,118
15,24,97
