X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,237
0,1,236
0,2,240
0,3,238
0,4,234
0,5,237
0,6,237
0,7,244
0,8,243
0,9,245
0,10,247
0,11,245
0,12,237
0,13,235
0,14,236
0,15,248
0,16,246
0,17,231
0,18,251
0,19,251
0,20,214
0,21,171
0,22,154
0,23,153
0,24,140
1,0,235
1,1,235
1,2,234
1,3,227
1,4,228
1,5,232
1,6,235
1,7,240
1,8,238
1,9,243
1,10,244
1,11,244
1,12,245
1,13,236
1,14,244
1,15,245
1,16,245
1,17,169
1,18,250
1,19,244
1,20,205
1,21,163
1,22,127
1,23,141
1,24,132
2,0,232
2,1,231
2,2,230
2,3,229
2,4,228
2,5,230
2,6,236
2,7,240
2,8,239
2,9,241
2,10,243
2,11,243
2,12,245
2,13,244
2,14,233
2,15,234
2,16,143
2,17,126
2,18,223
2,19,191
2,20,149
2,21,136
2,22,155
2,23,142
2,24,132
3,0,234
3,1,231
3,2,230
3,3,231
3,4,228
3,5,233
3,6,235
3,7,235
3,8,237
3,9,238
3,10,238
3,11,240
3,12,242
3,13,243
3,14,230
3,15,234
3,16,105
3,17,99
3,18,181
3,19,189
3,20,205
3,21,152
3,22,138
3,23,125
3,24,130
4,0,232
4,1,233
4,2,233
4,3,233
4,4,230
4,5,229
4,6,231
4,7,236
4,8,236
4,9,237
4,10,237
4,11,237
4,12,240
4,13,241
4,14,231
4,15,194
4,16,106
4,17,139
4,18,153
4,19,164
4,20,164
4,21,146
4,22,137
4,23,111
4,24,124
5,0,228
5,1,230
5,2,230
5,3,230
5,4,230
5,5,230
5,6,229
5,7,230
5,8,235
5,9,236
5,10,237
5,11,238
5,12,212
5,13,233
5,14,232
5,15,111
5,16,93
5,17,153
5,18,129
5,19,126
5,20,143
5,21,136
5,22,139
5,23,99
5,24,130
6,0,229
6,1,229
6,2,229
6,3,230
6,4,230
6,5,230
6,6,231
6,7,230
6,8,231
6,9,233
6,10,235
6,11,235
6,12,168
6,13,213
6,14,210
6,15,70
6,16,93
6,17,104
6,18,93
6,19,96
6,20,131
6,21,126
6,22,109
6,23,96
6,24,104
7,0,229
7,1,229
7,2,229
7,3,229
7,4,230
7,5,230
7,6,231
7,7,231
7,8,231
7,9,234
7,10,216
7,11,212
7,12,150
7,13,150
7,14,129
7,15,65
7,16,115
7,17,122
7,18,92
7,19,83
7,20,128
7,21,140
7,22,121
7,23,98
7,24,91
8,0,228
8,1,229
8,2,216
8,3,205
8,4,199
8,5,196
8,6,195
8,7,196
8,8,196
8,9,202
8,10,115
8,11,102
8,12,135
8,13,120
8,14,111
8,15,83
8,16,124
8,17,96
8,18,75
8,19,79
8,20,128
8,21,112
8,22,83
8,23,77
8,24,130
9,0,168
9,1,164
9,2,162
9,3,159
9,4,162
9,5,164
9,6,166
9,7,167
9,8,171
9,9,170
9,10,130
9,11,111
9,12,93
9,13,93
9,14,93
9,15,93
9,16,58
9,17,67
9,18,75
9,19,64
9,20,72
9,21,82
9,22,95
9,23,80
9,24,89
10,0,174
10,1,179
10,2,172
10,3,178
10,4,168
10,5,163
10,6,164
10,7,165
10,8,167
10,9,160
10,10,115
10,11,112
10,12,102
10,13,91
10,14,105
10,15,66
10,16,104
10,17,65
10,18,78
10,19,56
10,20,78
10,21,95
10,22,50
10,23,143
10,24,74
11,0,205
11,1,207
11,2,202
11,3,216
11,4,205
11,5,220
11,6,186
11,7,169
11,8,181
11,9,173
11,10,121
11,11,97
11,12,90
11,13,128
11,14,81
11,15,128
11,16,135
11,17,125
11,18,118
11,19,105
11,20,105
11,21,100
11,22,98
11,23,89
11,24,87
12,0,133
12,1,170
12,2,166
12,3,167
12,4,180
12,5,186
12,6,182
12,7,203
12,8,201
12,9,169
12,10,143
12,11,126
12,12,131
12,13,115
12,14,107
12,15,107
12,16,105
12,17,102
12,18,98
12,19,105
12,20,99
12,21,104
12,22,100
12,23,90
12,24,84
13,0,143
13,1,153
13,2,98
13,3,134
13,4,144
13,5,107
13,6,135
13,7,165
13,8,140
13,9,132
13,10,208
13,11,162
13,12,180
13,13,171
13,14,159
13,15,179
13,16,168
13,17,165
13,18,175
13,19,167
13,20,209
13,21,174
13,22,146
13,23,158
13,24,147
14,0,169
14,1,179
14,2,159
14,3,118
14,4,138
14,5,118
14,6,134
14,7,133
14,8,158
14,9,144
14,10,145
14,11,143
14,12,151
14,13,178
14,14,152
14,15,167
14,16,148
14,17,160
14,18,175
14,19,145
14,20,166
14,21,176
14,22,186
14,23,144
14,24,161
15,0,166
15,1,165
15,2,144
15,3,91
15,4,151
15,5,133
15,6,154
15,7,121
15,8,148
15,9,164
15,10,156
15,11,144
15,12,151
15,13,152
15,14,169
15,15,167
15,16,164
15,17,139
15,18,153
15,19,171
15,20,176
15,21,156
15,22,164
15,23,150
15,24,156
