X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,224
0,1,224
0,2,221
0,3,218
0,4,219
0,5,218
0,6,216
0,7,218
0,8,224
0,9,234
0,10,221
0,11,215
0,12,220
0,13,229
0,14,230
0,15,235
0,16,240
0,17,244
0,18,246
0,19,248
0,20,249
0,21,250
0,22,251
0,23,252
0,24,253
1,0,225
1,1,226
1,2,231
1,3,219
1,4,218
1,5,218
1,6,221
1,7,220
1,8,217
1,9,226
1,10,238
1,11,220
1,12,216
1,13,222
1,14,227
1,15,240
1,16,237
1,17,243
1,18,245
1,19,247
1,20,247
1,21,249
1,22,251
1,23,250
1,24,251
2,0,223
2,1,224
2,2,224
2,3,228
2,4,217
2,5,223
2,6,223
2,7,225
2,8,229
2,9,231
2,10,232
2,11,233
2,12,219
2,13,217
2,14,219
2,15,228
2,16,236
2,17,242
2,18,245
2,19,247
2,20,227
2,21,194
2,22,154
2,23,154
2,24,155
3,0,223
3,1,223
3,2,224
3,3,216
3,4,215
3,5,215
3,6,222
3,7,225
3,8,226
3,9,227
3,10,228
3,11,230
3,12,230
3,13,227
3,14,224
3,15,228
3,16,232
3,17,171
3,18,245
3,19,248
3,20,248
3,21,154
3,22,111
3,23,150
3,24,154
4,0,221
4,1,218
4,2,219
4,3,217
4,4,215
4,5,216
4,6,223
4,7,223
4,8,224
4,9,224
4,10,225
4,11,227
4,12,229
4,13,229
4,14,222
4,15,222
4,16,224
4,17,124
4,18,221
4,19,175
4,20,147
4,21,117
4,22,158
4,23,146
4,24,146
5,0,222
5,1,222
5,2,216
5,3,216
5,4,217
5,5,219
5,6,223
5,7,223
5,8,223
5,9,223
5,10,224
5,11,224
5,12,226
5,13,228
5,14,220
5,15,223
5,16,129
5,17,150
5,18,165
5,19,183
5,20,170
5,21,126
5,22,147
5,23,113
5,24,113
6,0,221
6,1,221
6,2,221
6,3,221
6,4,220
6,5,218
6,6,217
6,7,220
6,8,223
6,9,224
6,10,224
6,11,225
6,12,225
6,13,226
6,14,221
6,15,222
6,16,108
6,17,132
6,18,158
6,19,168
6,20,129
6,21,118
6,22,119
6,23,140
6,24,112
7,0,216
7,1,219
7,2,220
7,3,219
7,4,219
7,5,219
7,6,219
7,7,218
7,8,222
7,9,222
7,10,224
7,11,225
7,12,222
7,13,224
7,14,222
7,15,108
7,16,105
7,17,99
7,18,128
7,19,131
7,20,145
7,21,120
7,22,132
7,23,109
7,24,133
8,0,217
8,1,217
8,2,217
8,3,217
8,4,219
8,5,219
8,6,219
8,7,219
8,8,220
8,9,222
8,10,222
8,11,223
8,12,166
8,13,223
8,14,179
8,15,92
8,16,83
8,17,86
8,18,105
8,19,98
8,20,130
8,21,109
8,22,100
8,23,110
8,24,110
9,0,217
9,1,217
9,2,217
9,3,217
9,4,218
9,5,219
9,6,219
9,7,219
9,8,219
9,9,221
9,10,225
9,11,174
9,12,112
9,13,122
9,14,80
9,15,93
9,16,85
9,17,77
9,18,97
9,19,85
9,20,110
9,21,121
9,22,97
9,23,93
9,24,101
10,0,216
10,1,219
10,2,204
10,3,183
10,4,175
10,5,174
10,6,172
10,7,176
10,8,177
10,9,180
10,10,154
10,11,187
10,12,114
10,13,113
10,14,88
10,15,91
10,16,76
10,17,113
10,18,79
10,19,80
10,20,132
10,21,93
10,22,105
10,23,85
10,24,120
11,0,147
11,1,144
11,2,142
11,3,141
11,4,142
11,5,144
11,6,145
11,7,146
11,8,148
11,9,150
11,10,112
11,11,86
11,12,98
11,13,128
11,14,85
11,15,88
11,16,84
11,17,113
11,18,70
11,19,74
11,20,97
11,21,95
11,22,85
11,23,104
11,24,95
12,0,145
12,1,142
12,2,136
12,3,143
12,4,132
12,5,131
12,6,132
12,7,135
12,8,138
12,9,144
12,10,130
12,11,87
12,12,96
12,13,81
12,14,85
12,15,96
12,16,75
12,17,80
12,18,76
12,19,72
12,20,72
12,21,106
12,22,105
12,23,104
12,24,90
13,0,145
13,1,145
13,2,159
13,3,177
13,4,186
13,5,187
13,6,141
13,7,137
13,8,163
13,9,134
13,10,106
13,11,92
13,12,92
13,13,83
13,14,72
13,15,83
13,16,52
13,17,79
13,18,59
13,19,64
13,20,92
13,21,89
13,22,76
13,23,98
13,24,84
14,0,159
14,1,161
14,2,163
14,3,167
14,4,127
14,5,159
14,6,154
14,7,146
14,8,142
14,9,126
14,10,97
14,11,107
14,12,129
14,13,118
14,14,123
14,15,112
14,16,105
14,17,97
14,18,92
14,19,93
14,20,94
14,21,91
14,22,88
14,23,82
14,24,77
15,0,113
15,1,110
15,2,112
15,3,100
15,4,109
15,5,102
15,6,97
15,7,99
15,8,94
15,9,90
15,10,90
15,11,88
15,12,86
15,13,82
15,14,79
15,15,77
15,16,72
15,17,79
15,18,81
15,19,77
15,20,80
15,21,76
15,22,73
15,23,73
15,24,73
