Hieght(Pixels),Width(Pixels),Processing Time(S)
333,500,0.46007323265075684
333,500,0.5394632816314697
333,500,0.43607091903686523
333,500,0.5416979789733887
333,500,0.427288293838501
333,500,0.45575976371765137
333,500,0.3987281322479248
333,500,0.35042595863342285
333,500,0.369185209274292
333,500,0.31783509254455566
333,500,0.3141810894012451
333,500,0.33615851402282715
333,500,0.32181668281555176
333,500,0.3969552516937256
333,500,0.37299346923828125
333,500,0.3230881690979004
333,500,0.3302152156829834
333,500,0.3128199577331543
333,500,0.3130190372467041
333,500,0.38978075981140137
333,500,0.31482458114624023
333,500,0.3228483200073242
333,500,0.333662748336792
333,500,0.3727872371673584
333,500,0.4147624969482422
333,500,0.5856692790985107
333,500,0.32483482360839844
333,500,0.36579179763793945
333,500,0.4607372283935547
333,500,0.6456301212310791
333,500,0.41376638412475586
333,500,0.4107851982116699
333,500,0.33980512619018555
333,500,0.3288145065307617
333,500,0.438748836517334
333,500,0.36179256439208984
333,500,0.35179805755615234
333,500,0.3927743434906006
333,500,0.33181095123291016
333,500,0.44574475288391113
333,500,0.3707871437072754
333,500,0.3288114070892334
333,500,0.3388049602508545
333,500,0.3198380470275879
333,500,0.4027698040008545
333,500,0.3438229560852051
333,500,0.33180999755859375
333,500,0.33580923080444336
333,500,0.501732587814331
333,500,0.4807262420654297
333,500,0.32981204986572266
333,500,0.32483553886413574
333,500,0.3208181858062744
333,500,0.3448030948638916
333,500,0.31981635093688965
333,500,0.4157881736755371
333,500,0.31517529487609863
333,500,0.3147854804992676
333,500,0.33283400535583496
333,500,0.316866397857666
333,500,0.3488178253173828
333,500,0.396787166595459
333,500,0.31484079360961914
333,500,0.32709789276123047
333,500,0.3148205280303955
333,500,0.31636619567871094
333,500,0.41376352310180664
333,500,0.33980441093444824
333,500,0.34580230712890625
333,500,0.32781124114990234
333,500,0.3168182373046875
333,500,0.31386661529541016
333,500,0.41176581382751465
333,500,0.3168179988861084
333,500,0.32087182998657227
333,500,0.3238344192504883
333,500,0.32001280784606934
333,500,0.3259289264678955
333,500,0.4067656993865967
333,500,0.3168208599090576
333,500,0.3228647708892822
333,500,0.32283592224121094
333,500,0.314816951751709
333,500,0.3547966480255127
333,500,0.3578217029571533
333,500,0.3158440589904785
333,500,0.32681751251220703
333,500,0.31182098388671875
333,500,0.31781768798828125
333,500,0.3847818374633789
333,500,0.3368077278137207
333,500,0.316819429397583
333,500,0.3188183307647705
333,500,0.3178398609161377
333,500,0.3158891201019287
333,500,0.39177536964416504
333,500,0.32938098907470703
333,500,0.32082056999206543
333,500,0.3288116455078125
333,500,0.31883740425109863
333,500,0.3179655075073242
333,500,0.43377184867858887
333,500,0.3198237419128418
333,500,0.3169248104095459
333,500,0.33482813835144043
333,500,0.31998610496520996
333,500,0.31983375549316406
333,500,0.4057796001434326
333,500,0.31581878662109375
333,500,0.31981706619262695
333,500,0.315824031829834
333,500,0.3205869197845459
333,500,0.34983110427856445
333,500,0.3937826156616211
333,500,0.3281371593475342
333,500,0.33173537254333496
333,500,0.3148198127746582
333,500,0.31381940841674805
333,500,0.3808021545410156
333,500,0.3478078842163086
333,500,0.3158564567565918
333,500,0.3258340358734131
333,500,0.3158893585205078
333,500,0.3258850574493408
333,500,0.4027690887451172
333,500,0.315840482711792
333,500,0.31598401069641113
333,500,0.32587099075317383
333,500,0.3197805881500244
333,500,0.31696486473083496
333,500,0.42783069610595703
333,500,0.3218212127685547
333,500,0.31685805320739746
333,500,0.321807861328125
333,500,0.32197117805480957
333,500,0.3380465507507324
333,500,0.41705942153930664
333,500,0.31882643699645996
333,500,0.3268117904663086
333,500,0.31597352027893066
333,500,0.3191874027252197
333,500,0.36579060554504395
333,500,0.3558042049407959
333,500,0.3218247890472412
