10/11/2018 14:15:31: INFO = Program has started running.
10/11/2018 14:15:31: INFO = Settings file loaded.
10/11/2018 14:15:31: INFO = Map created.
10/11/2018 14:15:31: INFO = Loading camera streams.
10/11/2018 14:15:33: STATUS = Camera streams loaded.
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:33: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:34: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:35: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:36: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:37: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:38: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:39: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
10/11/2018 14:15:40: INFO = Processing Depth Data
