Date and Time,Speed,Angle,Command Message
31/01/2019 14:54:26,0,0,RESET
31/01/2019 14:54:32,0,0,RESET
31/01/2019 14:54:33,-7,-11,RUN
31/01/2019 14:54:34,-7,-9,RUN
31/01/2019 14:54:34,-7,-7,RUN
31/01/2019 14:54:35,-15,-3,RUN
31/01/2019 14:54:36,-18,-3,RUN
31/01/2019 14:54:36,-24,-2,RUN
31/01/2019 14:54:37,-30,-2,RUN
31/01/2019 14:54:40,-30,-1,RUN
31/01/2019 14:54:41,-30,0,RUN
31/01/2019 14:54:43,-30,1,RUN
31/01/2019 14:54:45,-30,3,RUN
31/01/2019 14:54:46,-27,4,RUN
31/01/2019 14:54:47,-20,4,RUN
31/01/2019 14:54:50,-19,4,RUN
31/01/2019 14:54:51,0,0,STOP
31/01/2019 14:54:52,-7,0,RUN
31/01/2019 14:54:54,0,0,STOP
31/01/2019 14:54:54,-7,0,RUN
31/01/2019 14:54:55,0,0,STOP
31/01/2019 14:54:55,-7,0,RUN
31/01/2019 14:54:56,0,0,STOP
31/01/2019 14:54:57,-7,0,RUN
31/01/2019 14:54:57,0,0,STOP
31/01/2019 14:54:58,-7,0,RUN
31/01/2019 14:54:58,0,0,STOP
31/01/2019 14:54:59,-7,0,RUN
31/01/2019 14:55:00,0,0,STOP
31/01/2019 14:55:00,-7,0,RUN
31/01/2019 14:55:01,0,0,STOP
31/01/2019 14:55:01,-7,0,RUN
31/01/2019 14:55:02,0,0,STOP
31/01/2019 14:55:03,-7,0,RUN
31/01/2019 14:55:03,0,0,STOP
31/01/2019 14:55:04,-7,0,RUN
31/01/2019 14:55:04,0,0,STOP
31/01/2019 14:55:05,-7,0,RUN
31/01/2019 14:55:06,0,0,STOP
31/01/2019 14:55:06,-7,0,RUN
31/01/2019 14:55:07,0,0,STOP
31/01/2019 14:55:08,-7,0,RUN
31/01/2019 14:55:08,0,0,STOP
31/01/2019 14:55:09,-7,0,RUN
31/01/2019 14:55:10,-7,3,RUN
31/01/2019 14:55:26,0,0,RESET
31/01/2019 14:55:27,-7,3,RUN
31/01/2019 14:55:29,-7,0,RUN
31/01/2019 14:55:30,-7,1,RUN
31/01/2019 14:55:31,-8,1,RUN
31/01/2019 14:55:31,-19,2,RUN
31/01/2019 14:55:32,-20,2,RUN
31/01/2019 14:55:32,-22,2,RUN
31/01/2019 14:55:33,-22,3,RUN
31/01/2019 14:55:34,-23,3,RUN
31/01/2019 14:55:35,0,0,STOP
31/01/2019 14:55:36,-24,3,RUN
31/01/2019 14:55:36,0,0,STOP
31/01/2019 14:55:37,-24,3,RUN
31/01/2019 14:55:38,0,0,STOP
31/01/2019 14:55:38,-24,3,RUN
31/01/2019 14:55:39,0,0,STOP
31/01/2019 14:55:40,-24,3,RUN
31/01/2019 14:55:40,0,0,STOP
31/01/2019 14:55:41,-24,3,RUN
31/01/2019 14:55:41,0,0,STOP
31/01/2019 14:55:42,-24,3,RUN
31/01/2019 14:55:43,0,0,STOP
31/01/2019 14:55:43,-24,3,RUN
31/01/2019 14:55:45,0,0,STOP
31/01/2019 14:55:46,-24,3,RUN
31/01/2019 14:55:47,0,0,STOP
31/01/2019 14:55:47,-24,3,RUN
31/01/2019 14:55:48,0,0,STOP
31/01/2019 14:55:48,-24,3,RUN
31/01/2019 14:55:49,0,0,STOP
31/01/2019 14:55:50,-24,3,RUN
31/01/2019 14:55:50,0,0,STOP
31/01/2019 14:55:51,-24,3,RUN
31/01/2019 14:55:52,0,0,STOP
31/01/2019 14:55:52,-24,3,RUN
31/01/2019 14:55:53,0,0,STOP
31/01/2019 14:55:54,-24,3,RUN
31/01/2019 14:55:54,0,0,STOP
31/01/2019 14:55:55,-24,3,RUN
31/01/2019 14:55:56,0,0,STOP
31/01/2019 14:55:56,-24,3,RUN
31/01/2019 14:55:57,0,0,STOP
31/01/2019 14:55:58,-24,3,RUN
31/01/2019 14:55:58,0,0,STOP
31/01/2019 14:55:59,-24,3,RUN
31/01/2019 14:55:59,0,0,STOP
31/01/2019 14:56:00,-24,3,RUN
31/01/2019 14:56:01,0,0,STOP
31/01/2019 14:56:01,-24,3,RUN
31/01/2019 14:56:02,0,0,STOP
31/01/2019 14:56:02,-24,3,RUN
31/01/2019 14:56:03,0,0,STOP
31/01/2019 14:56:04,-24,3,RUN
31/01/2019 14:56:04,0,0,STOP
31/01/2019 14:56:05,-24,3,RUN
31/01/2019 14:56:10,-15,3,RUN
31/01/2019 14:56:11,-6,3,RUN
31/01/2019 14:56:11,-6,2,RUN
31/01/2019 14:59:12,0,0,STOP
31/01/2019 14:59:12,-6,2,RUN
31/01/2019 14:59:14,-6,6,RUN
31/01/2019 14:59:15,-6,-2,RUN
31/01/2019 14:59:16,-1,-2,RUN
31/01/2019 14:59:17,-6,-5,RUN
31/01/2019 14:59:17,-11,-5,RUN
31/01/2019 14:59:18,-25,-6,RUN
31/01/2019 14:59:19,-24,-6,RUN
31/01/2019 14:59:20,-22,-6,RUN
31/01/2019 14:59:22,-22,-7,RUN
31/01/2019 14:59:24,-22,-8,RUN
31/01/2019 14:59:24,-30,-9,RUN
31/01/2019 14:59:26,-28,-9,RUN
31/01/2019 14:59:26,-37,-11,RUN
31/01/2019 14:59:27,-39,-11,RUN
31/01/2019 14:59:28,-25,-11,RUN
31/01/2019 14:59:28,-19,-11,RUN
31/01/2019 14:59:29,-14,-6,RUN
31/01/2019 14:59:30,-70,29,RUN
31/01/2019 14:59:30,100,-6,RUN
31/01/2019 14:59:31,-99,-10,RUN
31/01/2019 14:59:32,99,-16,RUN
31/01/2019 14:59:32,-99,65,RUN
31/01/2019 14:59:33,-44,-97,RUN
