Date and Time,Speed,Angle,Command Message
08/02/2019 17:50:55,0,0,RESET
08/02/2019 17:51:19,-4,-4,RUN
08/02/2019 17:51:20,-4,-2,RUN
08/02/2019 17:51:20,-3,0,RUN
08/02/2019 17:51:22,-2,0,RUN
08/02/2019 17:51:22,1,0,RUN
08/02/2019 17:51:23,2,0,RUN
08/02/2019 17:51:23,3,0,RUN
08/02/2019 17:51:23,4,0,RUN
08/02/2019 17:51:24,6,0,RUN
08/02/2019 17:51:24,7,0,RUN
08/02/2019 17:51:24,8,0,RUN
08/02/2019 17:51:25,7,0,SEND
08/02/2019 17:51:26,7,0,RUN
08/02/2019 17:51:26,7,0,RUN
08/02/2019 17:51:26,5,0,SEND
08/02/2019 17:51:26,5,0,RUN
08/02/2019 17:51:27,5,0,RUN
08/02/2019 17:51:27,5,0,RUN
08/02/2019 17:51:27,5,0,RUN
08/02/2019 17:51:28,5,0,RUN
08/02/2019 17:51:28,5,0,RUN
08/02/2019 17:51:29,5,0,RUN
08/02/2019 17:51:29,5,0,RUN
08/02/2019 17:51:29,5,0,RUN
08/02/2019 17:51:30,5,0,RUN
08/02/2019 17:51:30,5,0,RUN
08/02/2019 17:51:30,5,0,RUN
08/02/2019 17:51:31,5,0,RUN
08/02/2019 17:51:31,5,0,RUN
08/02/2019 17:51:31,-3,7,RUN
08/02/2019 17:51:31,4,0,SEND
08/02/2019 17:51:32,-6,13,RUN
08/02/2019 17:51:33,-6,12,RUN
08/02/2019 17:51:34,-6,11,RUN
08/02/2019 17:51:35,-7,7,RUN
08/02/2019 17:51:35,-12,7,RUN
08/02/2019 17:51:36,-13,7,RUN
08/02/2019 17:51:36,-14,7,RUN
08/02/2019 17:51:36,-15,7,RUN
08/02/2019 17:51:37,-15,9,RUN
08/02/2019 17:51:38,-16,16,RUN
08/02/2019 17:51:38,-17,25,RUN
08/02/2019 17:51:38,-20,43,RUN
08/02/2019 17:51:39,-25,57,RUN
08/02/2019 17:51:39,-27,59,RUN
08/02/2019 17:51:39,-27,54,RUN
08/02/2019 17:51:40,13,-13,RUN
08/02/2019 17:51:40,13,-13,RUN
08/02/2019 17:51:40,10,-13,SEND
08/02/2019 17:51:40,10,-13,RUN
08/02/2019 17:51:41,10,-12,RUN
08/02/2019 17:51:41,10,41,RUN
