Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
08/02/2019 17:50:55,0.24,1.22,24.16,WARNING = Controller is resseting. Expect abnormal behaviour.
08/02/2019 17:51:19,-0.98,1.22,24.42,STATUS = System restarting.
08/02/2019 17:51:25,-0.98,5.13,24.16,STATUS = Data Mapped Succesfully
08/02/2019 17:51:26,-0.24,0.73,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:51:31,0.00,0.98,24.16,STATUS = Data Mapped Succesfully
08/02/2019 17:51:42,0.24,0.73,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:51:46,0.24,0.73,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:51:49,0.00,0.73,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:52:00,1.22,3.91,24.07, to map sent data to output. Check range of sent data.
08/02/2019 17:52:01,-0.24,2.44,23.98, to map sent data to output. Check range of sent data.
08/02/2019 17:52:15,0.24,-0.98,23.98,STATUS = Data Mapped Succesfully
08/02/2019 17:52:16,0.00,0.98,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:52:32,-0.24,1.22,23.92, to map sent data to output. Check range of sent data.
08/02/2019 17:52:35,1.71,10.51,24.19,STATUS = Data Mapped Succesfully
08/02/2019 17:52:36,0.73,6.84,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:52:37,0.00,0.98,24.10,STATUS = Data Mapped Succesfully
08/02/2019 17:52:42,0.00,0.98,24.30,STATUS = Data Mapped Succesfully
08/02/2019 17:52:49,0.00,1.22,24.16,STATUS = Data Mapped Succesfully
08/02/2019 17:52:52,0.00,0.98,24.16,STATUS = Data Mapped Succesfully
08/02/2019 17:52:53,-0.24,0.98,24.19,STATUS = Data Mapped Succesfully
08/02/2019 17:52:54,0.00,1.71,23.98,STATUS = Data Mapped Succesfully
08/02/2019 17:53:07,0.24,1.47,23.98,STATUS = Data Mapped Succesfully
08/02/2019 17:53:09,0.00,0.98,24.10,STATUS = Data Mapped Succesfully
08/02/2019 17:53:15,-0.98,1.22,24.98,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:04,0.49,2.69,23.80, to map sent data to output. Check range of sent data.
08/02/2019 18:30:37,0.49,2.44,23.72, to map sent data to output. Check range of sent data.
08/02/2019 18:30:42,0.00,0.98,24.24,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:42,0.24,1.22,24.80,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:43,-0.98,1.22,24.89,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:51,-0.98,0.98,25.01,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:51,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:52,-0.98,1.22,24.98,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:52,-0.98,0.98,25.07,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:53,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:54,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:57,-0.98,1.22,25.07,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:58,-0.98,1.22,24.92,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:58,-0.98,1.22,25.07,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:59,-0.98,0.98,25.04,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:31:00,-0.98,0.98,24.92,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:31:00,-0.98,1.22,25.36,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:31:00,-0.98,0.98,24.86,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 11:56:03,-0.73,1.22,24.65,ERROR = Data not received. Check the format of your data.
11/02/2019 12:13:57,-0.73,1.47,24.48,STATUS = System restarting.
11/02/2019 12:45:09,-0.98,0.98,24.27,STATUS = System restarting.
11/02/2019 12:45:51,0.00,0.49,24.01,STATUS = Data Mapped Succesfully
11/02/2019 12:46:03,-0.49,0.49,23.98,STATUS = Data Mapped Succesfully
11/02/2019 12:46:08,0.24,0.98,24.07,STATUS = Data Mapped Succesfully
11/02/2019 12:46:11,0.00,0.98,24.01,STATUS = Data Mapped Succesfully
11/02/2019 12:46:27,0.24,0.49,23.80,STATUS = Data Mapped Succesfully
11/02/2019 12:46:29,0.00,0.49,24.04,STATUS = Data Mapped Succesfully
11/02/2019 12:46:32,0.00,0.73,24.10,ERROR = Data not received. Check the format of your data.
11/02/2019 12:47:39,0.24,0.98,24.89,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:47:40,-0.98,1.22,25.15,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:47:41,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:29,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:30,-0.98,1.47,25.18,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:42,-0.98,1.47,25.07,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:43,-0.98,1.22,25.07,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:57,-0.98,1.22,24.33,STATUS = System restarting.
11/02/2019 12:49:10,0.00,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:49:11,-0.98,1.22,24.95,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:12:56,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:14:53,0.49,1.22,24.13,ERROR = Data not received. Check the format of your data.
11/02/2019 13:20:11,0.00,1.22,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:20:12,-0.24,0.73,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:20:18,0.00,0.98,24.19,ERROR = Data not received. Check the format of your data.
11/02/2019 13:20:39,0.49,2.20,23.83, to map sent data to output. Check range of sent data.
11/02/2019 13:20:41,0.24,0.73,24.07,STATUS = Data Mapped Succesfully
11/02/2019 13:21:19,0.24,0.98,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:21:23,0.49,0.49,24.01,STATUS = Data Mapped Succesfully
11/02/2019 13:21:28,-0.24,0.98,23.98,STATUS = Data Mapped Succesfully
11/02/2019 13:21:29,0.00,0.98,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:21:29,-0.98,1.22,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:00,-0.98,1.22,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:12,-0.98,0.98,24.92,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:12,-0.98,1.71,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:33,-0.73,1.71,24.45,STATUS = System restarting.
11/02/2019 13:24:36,-0.24,0.73,23.98,ERROR = Data not received. Check the format of your data.
11/02/2019 13:24:52,0.00,2.20,23.86,STATUS = Data Mapped Succesfully
11/02/2019 13:25:09,0.73,2.44,23.66, to map sent data to output. Check range of sent data.
11/02/2019 13:25:33,5.87,3.18,24.07,STATUS = Data Mapped Succesfully
11/02/2019 13:25:36,0.24,1.47,24.36,ERROR = Data not received. Check the format of your data.
11/02/2019 13:25:47,0.98,2.93,23.63, to map sent data to output. Check range of sent data.
11/02/2019 13:26:12,0.73,1.22,23.92,ERROR = Data not received. Check the format of your data.
11/02/2019 13:26:19,0.98,2.69,23.69, to map sent data to output. Check range of sent data.
11/02/2019 13:26:20,-0.73,2.69,24.01, to map sent data to output. Check range of sent data.
11/02/2019 13:26:20,-0.73,44.72,23.36, to map sent data to output. Check range of sent data.
11/02/2019 13:26:39,-0.73,1.47,25.07,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:26:39,-0.73,1.47,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:26:39,-0.73,1.47,25.07,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:26:43,-0.73,1.47,24.98,WARNING = Controller is resseting. Expect abnormal behaviour.
11/02/2019 13:27:11,-0.98,1.22,24.83,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:27:11,-0.98,1.47,24.95,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:27:11,-0.98,1.47,24.86,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:27:12,-0.98,1.71,25.09,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:27:12,-0.98,1.22,24.98,WARNING = Wheelchair is performing an Emergency Stop.
