Date and Time,Speed,Angle,Command Message
21/01/2019 18:13:27,0,0,RESET
21/01/2019 18:13:28,0,100,SEND
21/01/2019 18:13:29,1,100,RUN
21/01/2019 18:13:30,2,100,RUN
21/01/2019 18:13:31,3,100,RUN
21/01/2019 18:13:32,4,100,RUN
21/01/2019 18:13:33,5,100,RUN
21/01/2019 18:13:35,6,100,RUN
21/01/2019 18:13:36,7,100,RUN
21/01/2019 18:13:37,8,100,RUN
21/01/2019 18:13:38,9,100,RUN
21/01/2019 18:13:39,10,100,RUN
21/01/2019 18:13:40,11,100,RUN
21/01/2019 18:13:41,12,100,RUN
21/01/2019 18:13:43,13,100,RUN
21/01/2019 18:13:44,14,100,RUN
21/01/2019 18:13:45,15,100,RUN
21/01/2019 18:13:46,16,100,RUN
21/01/2019 18:13:47,17,100,RUN
21/01/2019 18:13:48,18,100,RUN
21/01/2019 18:13:50,19,100,RUN
21/01/2019 18:13:51,20,100,RUN
21/01/2019 18:13:52,21,100,RUN
21/01/2019 18:13:53,22,100,RUN
21/01/2019 18:13:54,23,100,RUN
21/01/2019 18:13:55,24,100,RUN
21/01/2019 18:13:56,25,100,RUN
21/01/2019 18:13:57,26,100,RUN
21/01/2019 18:13:59,27,100,RUN
21/01/2019 18:14:00,28,100,RUN
21/01/2019 18:14:01,29,100,RUN
21/01/2019 18:14:02,30,100,RUN
21/01/2019 18:14:03,29,100,RUN
21/01/2019 18:14:04,28,100,RUN
21/01/2019 18:14:05,27,100,RUN
21/01/2019 18:14:06,26,100,RUN
21/01/2019 18:14:08,25,100,RUN
21/01/2019 18:14:09,24,100,RUN
21/01/2019 18:14:10,23,100,RUN
21/01/2019 18:14:11,22,100,RUN
21/01/2019 18:14:12,21,100,RUN
21/01/2019 18:14:13,20,100,RUN
21/01/2019 18:14:14,19,100,RUN
21/01/2019 18:14:16,18,100,RUN
21/01/2019 18:14:17,17,100,RUN
21/01/2019 18:14:18,16,100,RUN
21/01/2019 18:14:19,15,100,RUN
21/01/2019 18:14:20,14,100,RUN
21/01/2019 18:14:21,13,100,RUN
21/01/2019 18:14:22,12,100,RUN
21/01/2019 18:14:24,11,100,RUN
21/01/2019 18:14:25,10,100,RUN
21/01/2019 18:14:26,9,100,RUN
21/01/2019 18:14:27,8,100,RUN
21/01/2019 18:14:28,7,100,RUN
21/01/2019 18:14:29,6,100,RUN
21/01/2019 18:14:31,5,100,RUN
21/01/2019 18:14:32,4,100,RUN
21/01/2019 18:14:33,3,100,RUN
21/01/2019 18:14:34,2,100,RUN
21/01/2019 18:14:35,1,100,RUN
21/01/2019 18:14:36,0,100,RUN
21/01/2019 18:14:37,0,-100,SEND
21/01/2019 18:14:39,1,-100,RUN
21/01/2019 18:14:40,2,-100,RUN
21/01/2019 18:14:41,3,-100,RUN
21/01/2019 18:14:42,4,-100,RUN
21/01/2019 18:14:43,5,-100,RUN
21/01/2019 18:14:44,6,-100,RUN
21/01/2019 18:14:46,7,-100,RUN
21/01/2019 18:14:47,8,-100,RUN
21/01/2019 18:14:48,9,-100,RUN
21/01/2019 18:14:49,10,-100,RUN
