Date and Time,Speed,Angle,Command Message
07/02/2019 14:57:19,0,0,RESET
07/02/2019 14:57:32,-3,-1,RUN
07/02/2019 14:57:36,-2,-1,RUN
07/02/2019 14:57:37,-2,0,RUN
07/02/2019 14:57:38,-1,0,RUN
07/02/2019 14:57:39,-2,0,RUN
07/02/2019 14:57:39,-2,-1,RUN
07/02/2019 14:57:40,-3,-1,RUN
07/02/2019 14:57:41,-4,-1,RUN
07/02/2019 14:57:42,-5,-1,RUN
07/02/2019 14:57:43,-5,-2,RUN
07/02/2019 14:57:43,-6,-2,RUN
07/02/2019 14:57:44,-7,-2,RUN
07/02/2019 14:57:46,-8,-2,RUN
07/02/2019 14:57:47,-8,-3,RUN
07/02/2019 14:57:48,-9,-3,RUN
07/02/2019 14:57:48,-3,-3,RUN
07/02/2019 14:57:49,-2,-3,RUN
07/02/2019 14:57:49,3,-3,RUN
07/02/2019 14:57:51,3,-4,RUN
07/02/2019 14:57:51,4,-4,RUN
07/02/2019 14:57:51,5,-4,RUN
07/02/2019 14:57:52,9,-4,RUN
07/02/2019 14:57:56,8,-4,RUN
07/02/2019 14:57:57,1,-4,RUN
07/02/2019 14:57:58,1,-3,RUN
07/02/2019 14:57:59,0,-3,RUN
07/02/2019 14:58:00,0,-2,RUN
07/02/2019 14:58:03,0,-1,RUN
07/02/2019 14:58:04,1,0,RUN
07/02/2019 14:58:05,2,0,RUN
07/02/2019 14:58:06,4,0,RUN
07/02/2019 14:58:06,6,1,RUN
07/02/2019 14:58:07,7,1,RUN
07/02/2019 14:58:08,6,0,RUN
07/02/2019 14:58:08,15,3,RUN
07/02/2019 14:58:09,14,1,RUN
07/02/2019 14:58:09,13,1,RUN
07/02/2019 14:58:10,12,1,RUN
07/02/2019 14:58:10,0,-1,RUN
07/02/2019 14:58:11,0,0,RUN
07/02/2019 14:58:12,-11,-1,RUN
07/02/2019 14:58:16,-12,-1,RUN
07/02/2019 14:58:16,-13,-1,RUN
07/02/2019 14:58:17,-14,-1,RUN
07/02/2019 14:58:17,-15,-1,RUN
07/02/2019 14:58:18,-16,-2,RUN
07/02/2019 14:58:18,-17,-2,RUN
07/02/2019 14:58:19,-16,-2,RUN
07/02/2019 14:58:19,-15,-2,RUN
07/02/2019 14:58:20,-14,-2,RUN
07/02/2019 14:58:20,-13,-2,RUN
07/02/2019 14:58:21,-12,-1,RUN
07/02/2019 14:58:22,-11,-1,RUN
07/02/2019 14:58:22,-10,-1,RUN
07/02/2019 14:58:23,-9,-1,RUN
07/02/2019 14:58:23,-8,-1,RUN
07/02/2019 14:58:24,-7,-1,RUN
07/02/2019 14:58:24,-6,-1,RUN
07/02/2019 14:58:25,-5,0,RUN
07/02/2019 14:58:25,-4,0,RUN
07/02/2019 14:58:26,-3,0,RUN
07/02/2019 14:58:26,-2,0,RUN
07/02/2019 14:58:27,-1,0,RUN
07/02/2019 14:58:27,0,0,RUN
07/02/2019 14:58:34,1,0,RUN
07/02/2019 14:58:34,0,2,RUN
07/02/2019 14:58:35,-1,-1,RUN
07/02/2019 14:58:35,0,0,RUN
07/02/2019 14:58:35,1,0,RUN
07/02/2019 14:58:36,2,0,RUN
07/02/2019 14:58:37,3,-1,RUN
07/02/2019 14:58:38,4,-1,RUN
07/02/2019 14:58:38,5,-1,RUN
07/02/2019 14:58:39,6,-1,RUN
07/02/2019 14:58:39,7,-1,RUN
07/02/2019 14:58:40,8,-2,RUN
07/02/2019 14:58:40,9,-2,RUN
07/02/2019 14:58:41,10,-2,RUN
07/02/2019 14:58:41,11,-2,RUN
07/02/2019 14:58:42,12,-3,RUN
07/02/2019 14:58:42,13,-3,RUN
07/02/2019 14:58:43,14,-3,RUN
07/02/2019 14:58:43,15,-3,RUN
07/02/2019 14:58:44,16,-4,RUN
07/02/2019 14:58:44,17,-4,RUN
07/02/2019 14:58:45,18,-4,RUN
07/02/2019 14:58:45,19,-4,RUN
07/02/2019 14:58:46,20,-2,RUN
07/02/2019 14:58:46,1,21,RUN
07/02/2019 14:58:46,0,21,RUN
07/02/2019 14:58:47,-7,21,RUN
07/02/2019 14:58:47,0,-2,RUN
07/02/2019 14:58:48,0,0,RUN
07/02/2019 14:58:48,2,21,RUN
07/02/2019 14:58:48,9,18,RUN
07/02/2019 14:58:49,11,17,RUN
07/02/2019 14:58:49,10,21,RUN
07/02/2019 14:58:50,4,21,RUN
07/02/2019 14:58:50,0,21,RUN
07/02/2019 14:58:50,4,21,RUN
07/02/2019 14:58:51,12,-2,RUN
07/02/2019 14:58:51,1,0,RUN
07/02/2019 14:58:52,2,11,RUN
07/02/2019 14:58:52,2,12,RUN
07/02/2019 14:58:52,2,4,RUN
07/02/2019 14:58:53,2,0,RUN
07/02/2019 14:58:53,1,0,RUN
07/02/2019 14:58:54,0,0,RUN
07/02/2019 14:58:58,-1,0,RUN
07/02/2019 14:58:58,-8,3,RUN
07/02/2019 14:58:59,-9,3,RUN
07/02/2019 14:58:59,-10,3,RUN
07/02/2019 14:59:00,-14,3,RUN
07/02/2019 14:59:00,-15,4,RUN
07/02/2019 14:59:01,-16,4,RUN
07/02/2019 14:59:01,-22,4,RUN
07/02/2019 14:59:02,-24,2,RUN
07/02/2019 14:59:02,-24,1,RUN
07/02/2019 14:59:03,-24,-1,RUN
07/02/2019 14:59:03,-2,-1,RUN
07/02/2019 14:59:04,0,-3,RUN
07/02/2019 14:59:04,5,-3,RUN
07/02/2019 14:59:04,6,-3,RUN
07/02/2019 14:59:05,8,-3,RUN
07/02/2019 14:59:05,8,5,RUN
07/02/2019 14:59:05,11,6,RUN
07/02/2019 14:59:06,13,8,RUN
07/02/2019 14:59:06,13,9,RUN
07/02/2019 14:59:07,13,10,RUN
07/02/2019 14:59:07,13,11,RUN
07/02/2019 14:59:07,13,12,RUN
07/02/2019 14:59:08,14,13,RUN
07/02/2019 14:59:08,14,16,RUN
07/02/2019 14:59:09,14,17,RUN
07/02/2019 14:59:09,14,18,RUN
07/02/2019 14:59:10,14,19,RUN
07/02/2019 14:59:10,14,20,RUN
07/02/2019 14:59:10,14,22,RUN
07/02/2019 14:59:11,14,23,RUN
07/02/2019 14:59:11,11,25,RUN
07/02/2019 14:59:11,10,27,RUN
07/02/2019 14:59:12,6,29,RUN
07/02/2019 14:59:12,1,31,RUN
07/02/2019 14:59:13,0,31,RUN
07/02/2019 14:59:13,8,31,RUN
07/02/2019 14:59:13,7,1,RUN
07/02/2019 14:59:14,1,0,RUN
07/02/2019 14:59:14,6,5,RUN
07/02/2019 14:59:15,8,5,RUN
07/02/2019 14:59:15,12,7,RUN
07/02/2019 14:59:15,15,10,RUN
07/02/2019 14:59:16,16,10,RUN
07/02/2019 14:59:16,17,10,RUN
07/02/2019 14:59:17,19,10,RUN
07/02/2019 14:59:17,-5,4,RUN
07/02/2019 14:59:18,-11,7,RUN
07/02/2019 14:59:18,-12,7,RUN
07/02/2019 14:59:19,-15,7,RUN
07/02/2019 14:59:19,-16,7,RUN
07/02/2019 14:59:19,-18,9,RUN
07/02/2019 14:59:20,-19,9,RUN
07/02/2019 14:59:20,-21,9,RUN
07/02/2019 14:59:20,-22,9,RUN
