Date and Time,Speed,Angle,Command Message
22/03/2019 16:06:45,0,0,RESET
22/03/2019 16:06:55,0,0,RUN
22/03/2019 16:06:57,0,0,RUN
22/03/2019 16:06:58,0,0,RUN
22/03/2019 16:06:59,0,0,RUN
22/03/2019 16:07:00,0,0,RUN
22/03/2019 16:07:01,0,0,RUN
22/03/2019 16:07:02,0,0,RUN
22/03/2019 16:07:02,0,0,RUN
22/03/2019 16:07:03,0,0,RUN
22/03/2019 16:07:04,0,0,RUN
22/03/2019 16:07:05,0,0,RUN
22/03/2019 16:07:06,0,0,RUN
22/03/2019 16:07:06,0,0,RUN
22/03/2019 16:07:07,0,0,RUN
22/03/2019 16:07:12,0,0,RUN
22/03/2019 16:07:14,0,0,RUN
22/03/2019 16:07:15,0,0,RUN
22/03/2019 16:07:16,0,0,RUN
22/03/2019 16:07:17,0,0,RUN
22/03/2019 16:07:18,0,0,RUN
22/03/2019 16:07:19,0,0,RUN
22/03/2019 16:07:20,0,0,RUN
22/03/2019 16:07:20,0,0,RUN
22/03/2019 16:07:21,0,0,RUN
22/03/2019 16:07:22,0,0,RUN
22/03/2019 16:07:22,0,0,RUN
22/03/2019 16:07:23,0,0,RUN
22/03/2019 16:07:24,0,0,RUN
22/03/2019 16:07:24,0,0,RUN
22/03/2019 16:07:25,0,0,RUN
22/03/2019 16:07:25,0,0,RUN
22/03/2019 16:07:26,0,0,RUN
22/03/2019 16:07:26,0,0,RUN
22/03/2019 16:07:27,0,0,RUN
22/03/2019 16:07:28,0,0,RUN
22/03/2019 16:07:28,0,0,RUN
22/03/2019 16:07:29,0,0,RUN
22/03/2019 16:07:29,0,0,RUN
22/03/2019 16:07:30,0,0,RUN
22/03/2019 16:07:31,0,0,RUN
22/03/2019 16:07:31,0,0,RUN
22/03/2019 16:07:32,0,0,RUN
22/03/2019 16:07:33,0,0,RUN
22/03/2019 16:07:33,0,0,RUN
22/03/2019 16:07:34,0,0,RUN
22/03/2019 16:07:34,0,0,RUN
22/03/2019 16:07:35,0,0,RUN
22/03/2019 16:07:36,0,0,RUN
22/03/2019 16:07:36,0,0,RUN
22/03/2019 16:07:37,0,0,RUN
22/03/2019 16:07:38,0,0,RUN
22/03/2019 16:07:38,0,0,RUN
22/03/2019 16:07:39,0,0,RUN
22/03/2019 16:07:39,0,0,RUN
22/03/2019 16:07:40,0,0,RUN
22/03/2019 16:07:40,0,0,RUN
22/03/2019 16:07:41,0,0,RUN
22/03/2019 16:07:42,0,0,RUN
22/03/2019 16:07:42,0,0,RUN
22/03/2019 16:07:43,0,0,RUN
22/03/2019 16:07:43,0,0,RUN
22/03/2019 16:07:44,0,0,RUN
22/03/2019 16:07:44,0,0,RUN
22/03/2019 16:07:45,0,0,RUN
22/03/2019 16:07:45,0,0,RUN
22/03/2019 16:07:46,0,0,RUN
22/03/2019 16:07:47,0,0,RUN
22/03/2019 16:07:47,0,0,RUN
22/03/2019 16:07:48,0,0,RUN
22/03/2019 16:07:49,0,0,RUN
22/03/2019 16:07:49,0,0,RUN
22/03/2019 16:07:50,0,0,RUN
22/03/2019 16:07:50,0,0,RUN
22/03/2019 16:07:51,0,0,RUN
