Date and Time,Speed,Angle,Command Message
11/01/2019 15:38:30,0,0,RESET
11/01/2019 15:38:31,1,0,SEND
11/01/2019 15:38:33,2,0,SEND
11/01/2019 15:38:36,3,0,SEND
11/01/2019 15:38:38,4,0,SEND
11/01/2019 15:38:40,5,0,SEND
11/01/2019 15:38:42,6,0,SEND
11/01/2019 15:38:45,7,0,SEND
11/01/2019 15:38:47,8,0,SEND
11/01/2019 15:38:49,9,0,SEND
11/01/2019 15:38:52,10,0,SEND
11/01/2019 15:38:54,11,0,SEND
11/01/2019 15:38:56,12,0,SEND
11/01/2019 15:38:58,13,0,SEND
11/01/2019 15:39:01,14,0,SEND
11/01/2019 15:39:03,15,0,SEND
11/01/2019 15:39:05,16,0,SEND
11/01/2019 15:39:07,17,0,SEND
11/01/2019 15:39:10,18,0,SEND
11/01/2019 15:39:12,19,0,SEND
11/01/2019 15:39:14,20,0,SEND
