Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
08/02/2019 16:49:06,0.24,0.98,24.30,WARNING = Controller is resseting. Expect abnormal behaviour.
08/02/2019 17:16:04,-0.98,0.98,24.48,STATUS = System restarting.
08/02/2019 17:16:24,-0.24,1.47,24.27,STATUS = Data Mapped Succesfully
08/02/2019 17:16:25,-0.49,0.98,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:16:34,0.00,0.98,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:16:45,0.00,0.98,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:16:48,0.00,0.98,24.30,STATUS = Data Mapped Succesfully
08/02/2019 17:17:06,0.24,0.98,24.19,STATUS = Data Mapped Succesfully
08/02/2019 17:17:07,0.00,0.73,24.10,STATUS = Data Mapped Succesfully
08/02/2019 17:17:07,0.00,0.98,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:17:07,0.00,1.22,24.39,STATUS = Data Mapped Succesfully
08/02/2019 17:20:07,-0.98,0.73,24.63,STATUS = System restarting.
08/02/2019 17:20:22,-0.24,0.73,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:20:25,0.00,1.22,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:20:51,0.00,1.22,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:20:56,0.00,0.98,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:21:09,-0.24,2.44,24.04, to map sent data to output. Check range of sent data.
08/02/2019 17:21:11,-0.24,2.44,24.04, to map sent data to output. Check range of sent data.
08/02/2019 17:21:29,0.24,0.98,24.10,STATUS = Data Mapped Succesfully
08/02/2019 17:47:45,0.24,0.98,24.13,STA
08/02/2019 17:49:53,-0.98,1.22,24.45,STATUS = System restarting.
08/02/2019 17:51:40,0.00,0.73,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:51:44,0.24,0.49,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:51:47,-0.24,0.49,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:51:50,0.00,10.02,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:52:00,-0.24,2.69,24.27, to map sent data to output. Check range of sent data.
08/02/2019 17:52:00,0.24,2.69,23.98, to map sent data to output. Check range of sent data.
08/02/2019 17:52:01,-0.24,3.67,24.10, to map sent data to output. Check range of sent data.
08/02/2019 17:52:01,-0.24,2.93,23.83, to map sent data to output. Check range of sent data.
08/02/2019 17:52:10,0.00,0.73,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:52:10,0.24,0.73,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:52:13,0.24,1.22,24.07,STATUS = Data Mapped Succesfully
08/02/2019 17:52:14,0.24,1.22,24.04,STATUS = Data Mapped Succesfully
08/02/2019 17:52:39,-0.98,0.98,24.13,STATUS = Data Mapped Succesfully
08/02/2019 17:52:51,-0.49,0.49,24.19,STATUS = Data Mapped Succesfully
08/02/2019 17:52:58,0.49,1.47,24.22,STATUS = Data Mapped Succesfully
08/02/2019 17:53:14,0.00,0.98,24.10,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 17:53:15,-0.49,0.98,24.95,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:13:13,-0.73,0.98,24.54,STATUS = System restarting.
08/02/2019 18:13:23,0.00,2.44,23.92, to map sent data to output. Check range of sent data.
08/02/2019 18:13:39,-0.73,1.47,24.83,WARNING = Controller is resseting. Expect abnormal behaviour.
08/02/2019 18:14:14,-0.98,0.98,24.39,STATUS = System restarting.
08/02/2019 18:14:19,-0.24,0.98,24.13,STATUS = Data Mapped Succesfully
08/02/2019 18:18:53,-0.73,0.98,24.36,STATUS = System restarting.
08/02/2019 18:21:32,0.00,1.47,24.07,WARNING = Controller is resseting. Expect abnormal behaviour.
08/02/2019 18:21:44,-0.98,0.73,24.33,STATUS = System restarting.
08/02/2019 18:27:24,-0.98,0.98,24.39,STATUS = System restarting.
08/02/2019 18:29:46,-0.98,1.22,24.27,STATUS = System restarting.
08/02/2019 18:30:04,0.00,2.44,24.07, to map sent data to output. Check range of sent data.
08/02/2019 18:30:37,0.24,2.69,23.92, to map sent data to output. Check range of sent data.
08/02/2019 18:30:43,-0.98,1.47,24.89,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:51,-0.98,1.22,25.07,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:51,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:52,-0.98,0.98,24.92,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:54,-0.98,1.22,25.09,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:30:59,-0.98,1.22,25.07,WARNING = Wheelchair is performing an Emergency Stop.
08/02/2019 18:31:00,-0.98,1.22,24.89,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:46:02,0.00,0.73,24.04,STATUS = Data Mapped Succesfully
11/02/2019 12:46:10,0.00,0.73,24.04,STATUS = Data Mapped Succesfully
11/02/2019 12:46:34,0.24,0.73,23.95,STATUS = Data Mapped Succesfully
11/02/2019 12:47:37,-0.24,0.73,24.07,STATUS = Data Mapped Succesfully
11/02/2019 12:47:40,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:29,-0.98,1.22,25.18,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:29,-0.98,0.98,24.83,WARNING = Wheelchair is perform
11/02/2019 12:48:30,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:40,-0.98,1.22,25.21,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:42,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:43,s performing an Emergency Stop.
11/02/2019 12:48:43,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:44,-0.98,1.22,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:45,-0.98,0.98,24.95,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:48:48,-0.98,1.22,25.12,WARNING = Controller is resseting. Expect abnormal behaviour.
11/02/2019 12:49:09,0.24,0.98,24.19,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 12:49:11,-0.98,1.22,25.04,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:12:55,-0.98,1.22,24.92,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:12:57,-0.98,1.22,24.95,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:12:57,-0.98,0.98,24.83,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:14:56,0.98,2.20,23.69, to map sent data to output. Check range of sent data.
11/02/2019 13:14:57,0.49,2.44,23.80, to map sent data to output. Check range of sent data.
11/02/2019 13:14:58,-0.73,43.26,23.51, to map sent data to output. Check range of sent data.
11/02/2019 13:15:00,0.49,2.44,23.72, to map sent data to output. Check range of sent data.
11/02/2019 13:15:10,0.24,1.22,23.98,STATUS = Data Mapped
11/02/2019 13:20:04,-0.98,0.98,24.22,STATUS = System restarting.
11/02/2019 13:20:14,0.00,1.22,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:20:39,0.00,2.20,23.89, to map sent data to output. Check range of sent data.
11/02/2019 13:21:28,0.00,0.73,24.22,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:21:30,-0.98,1.22,25.15,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:23:58,-0.98,0.98,24.98,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:23:58,-0.98,1.47,24.95,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:10,-0.98,0.98,25.01,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:12,-0.98,1.22,24.89,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:13,-0.98,1.22,24.86,WARNING = Wheelchair is performing an Emergency Stop.
11/02/2019 13:24:47,0.24,1.22,24.10,STATUS = Data Mapped Succesfully
11/02/2019 13:24:58,0.98,0.49,24.22,STATUS = Data Mapped Succesf
11/02/2019 13:25:01,0.00,1.47,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:25:12,0.73,1.96,23.86, to map sent data to output. Check range of sent data.
11/02/2019 13:25:12,0.98,3.18,24.07, to map sent data to output. Check range of sent data.
11/02/2019 13:25:12,0.49,2.69,23.80, to map sent data to output. Check range of sent data.
11/02/2019 13:25:32,0.24,0.24,24.04,STATUS = Data Mapped Succesfully
11/02/2019 13:26:19,ut. Check range of sent data.
11/02/2019 13:26:20,1.22,3.18,23.66, to map sent data to output. Check range of sent data.
