Date and Time,Speed,Angle,Command Message
22/03/2019 12:27:36,0,0,RESET
22/03/2019 12:28:11,-1,-5,RUN
22/03/2019 12:28:12,0,1,RUN
22/03/2019 12:28:12,0,3,RUN
22/03/2019 12:28:12,6,3,RUN
22/03/2019 12:28:13,6,3,RUN
22/03/2019 12:28:13,6,3,RUN
22/03/2019 12:28:14,5,3,SEND
22/03/2019 12:28:14,6,3,RUN
22/03/2019 12:28:14,5,10,RUN
22/03/2019 12:28:14,5,10,RUN
22/03/2019 12:28:15,5,23,RUN
22/03/2019 12:28:15,5,24,RUN
22/03/2019 12:28:15,5,42,RUN
22/03/2019 12:28:16,5,42,RUN
22/03/2019 12:28:16,5,42,RUN
22/03/2019 12:28:16,5,42,RUN
22/03/2019 12:28:17,5,12,RUN
22/03/2019 12:28:17,5,-21,RUN
22/03/2019 12:28:17,5,-43,RUN
22/03/2019 12:28:18,5,-43,RUN
22/03/2019 12:28:18,5,3,RUN
22/03/2019 12:28:18,5,-55,RUN
22/03/2019 12:28:19,5,-57,RUN
22/03/2019 12:28:19,5,13,RUN
22/03/2019 12:28:19,5,7,RUN
22/03/2019 12:28:20,5,7,RUN
22/03/2019 12:28:20,5,7,RUN
22/03/2019 12:28:21,5,7,RUN
22/03/2019 12:28:21,5,7,RUN
22/03/2019 12:28:21,4,7,SEND
22/03/2019 12:28:21,4,7,RUN
22/03/2019 12:28:22,4,7,RUN
22/03/2019 12:28:22,4,7,RUN
22/03/2019 12:28:22,-2,0,RUN
22/03/2019 12:28:23,-2,4,RUN
22/03/2019 12:28:23,-6,6,RUN
22/03/2019 12:28:23,-9,12,RUN
22/03/2019 12:28:24,-12,12,RUN
22/03/2019 12:28:24,-18,16,RUN
22/03/2019 12:28:24,-24,32,RUN
22/03/2019 12:28:25,-28,46,RUN
22/03/2019 12:28:25,-28,60,RUN
22/03/2019 12:28:26,-28,61,RUN
22/03/2019 12:28:26,10,0,RUN
22/03/2019 12:28:27,8,0,SEND
22/03/2019 12:28:27,8,-21,RUN
22/03/2019 12:28:27,8,-30,RUN
