Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
07/02/2019 14:33:23,0.24,1.22,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:33:23,1.71,-0.73,24.65,STATUS = Data Mapped Succesfully
07/02/2019 14:33:26,0.00,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:33:27,0.24,1.22,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:27,0.49,0.98,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:28,0.49,1.22,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:28,7.09,4.15,24.68,STATUS = Data Mapped Succesfully
07/02/2019 14:33:30,0.98,0.98,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:33:31,0.98,0.73,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:33:31,0.24,0.98,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:33:33,5.62,0.98,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:33,0.00,1.22,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:34,0.24,0.98,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:33:34,0.00,0.98,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:35,-0.24,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:33:35,0.49,1.47,25.36,STATUS = Data Mapped Succesfully
07/02/2019 14:33:36,-0.73,1.47,25.36,STATUS = Data Mapped Succesfully
07/02/2019 14:33:37,0.49,1.47,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:38,0.00,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:33:38,0.49,1.71,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:39,0.49,1.96,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:33:40,3.67,6.11,24.45,STATUS = Data Mapped Succesfully
07/02/2019 14:33:40,0.24,1.71,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:41,0.49,1.22,24.63,STATUS = Data Mapped Succesfully
07/02/2019 14:33:42,0.24,1.22,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:33:43,0.24,1.22,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:43,0.24,1.22,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:44,0.49,1.47,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:33:45,0.49,1.22,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:33:45,0.24,1.22,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:46,0.24,1.47,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:47,0.24,1.22,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:33:48,0.24,1.22,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:33:49,0.49,1.47,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:33:50,0.49,1.47,24.63,STATUS = Data Mapped Succesfully
07/02/2019 14:33:51,0.24,1.22,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:33:52,0.00,1.22,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:54,12.71,0.24,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:33:55,0.00,1.22,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:33:57,0.73,1.71,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:33:58,0.49,1.96,24.36,STATUS = Data Mapped Succesfully
07/02/2019 14:33:58,-0.73,1.47,25.30,STATUS = Data Mapped Succesfully
