Date and Time,Speed,Angle,Command Message
08/02/2019 17:20:17,10,-39,RUN
08/02/2019 17:20:17,10,-49,RUN
08/02/2019 17:20:17,10,-49,RUN
08/02/2019 17:20:18,10,-49,RUN
08/02/2019 17:20:18,10,-19,RUN
08/02/2019 17:20:18,10,-33,RUN
08/02/2019 17:20:19,10,-32,RUN
08/02/2019 17:20:19,10,-32,RUN
08/02/2019 17:20:19,10,-31,RUN
08/02/2019 17:20:20,10,-31,RUN
08/02/2019 17:20:20,10,-31,RUN
08/02/2019 17:20:21,10,-25,RUN
08/02/2019 17:20:21,10,-28,RUN
08/02/2019 17:20:22,10,-28,RUN
08/02/2019 17:20:22,10,-28,RUN
08/02/2019 17:20:23,10,-28,RUN
08/02/2019 17:20:23,10,-28,RUN
08/02/2019 17:20:24,10,-28,RUN
08/02/2019 17:20:24,10,-28,RUN
08/02/2019 17:20:24,10,-28,RUN
08/02/2019 17:20:25,10,-28,RUN
08/02/2019 17:20:25,10,-28,RUN
08/02/2019 17:20:25,10,-28,RUN
08/02/2019 17:20:26,10,-28,RUN
08/02/2019 17:20:27,10,-28,RUN
08/02/2019 17:20:27,10,-28,RUN
08/02/2019 17:20:28,10,-28,RUN
08/02/2019 17:20:28,10,-28,RUN
08/02/2019 17:20:29,10,-28,RUN
08/02/2019 17:20:29,10,-28,RUN
08/02/2019 17:20:30,10,-28,RUN
08/02/2019 17:20:30,10,-28,RUN
08/02/2019 17:20:31,10,-28,RUN
08/02/2019 17:20:32,10,-28,RUN
08/02/2019 17:20:32,10,-28,RUN
08/02/2019 17:20:33,10,-28,RUN
08/02/2019 17:20:33,10,-28,RUN
08/02/2019 17:20:34,10,-28,RUN
08/02/2019 17:20:34,10,-28,RUN
08/02/2019 17:20:35,10,-28,RUN
08/02/2019 17:20:35,10,-28,RUN
08/02/2019 17:20:36,10,-28,RUN
08/02/2019 17:20:37,10,-28,RUN
08/02/2019 17:20:37,10,-28,RUN
08/02/2019 17:20:38,10,-28,RUN
08/02/2019 17:20:38,10,-28,RUN
08/02/2019 17:20:39,10,-28,RUN
08/02/2019 17:20:40,-13,23,RUN
08/02/2019 17:20:42,-14,23,RUN
08/02/2019 17:20:42,-15,24,RUN
08/02/2019 17:20:42,-16,24,RUN
08/02/2019 17:20:43,-21,24,RUN
08/02/2019 17:20:45,-21,21,RUN
