Date and Time,Speed,Angle,Command Message
03/04/2019 17:59:05: -14,13,RUN
03/04/2019 17:59:05: -17,13,SEND
03/04/2019 17:59:05: -14,13,RUN
03/04/2019 17:59:06: -19,15,SEND
03/04/2019 17:59:06: -22,19,SEND
03/04/2019 17:59:06: -19,15,RUN
03/04/2019 17:59:06: -23,22,SEND
03/04/2019 17:59:07: -19,15,RUN
03/04/2019 17:59:07: -23,20,SEND
03/04/2019 17:59:07: -23,0,SEND
03/04/2019 17:59:07: -23,20,RUN
03/04/2019 17:59:07: -23,-18,SEND
03/04/2019 17:59:08: -23,20,RUN
03/04/2019 17:59:08: -23,-23,SEND
03/04/2019 17:59:08: -23,-22,SEND
03/04/2019 17:59:08: -23,-21,SEND
03/04/2019 17:59:08: -23,-22,RUN
03/04/2019 17:59:09: -25,-11,SEND
03/04/2019 17:59:09: -27,-10,SEND
03/04/2019 17:59:09: -29,0,SEND
03/04/2019 17:59:09: -27,-10,RUN
03/04/2019 17:59:10: -29,1,SEND
03/04/2019 17:59:10: -27,-10,RUN
03/04/2019 17:59:10: -29,10,SEND
03/04/2019 17:59:10: -29,13,SEND
03/04/2019 17:59:11: -29,13,RUN
03/04/2019 17:59:11: -29,13,RUN
03/04/2019 17:59:11: -29,12,SEND
03/04/2019 17:59:11: -29,11,SEND
03/04/2019 17:59:12: -26,-32,SEND
03/04/2019 17:59:12: -29,12,RUN
03/04/2019 17:59:12: -22,-45,SEND
03/04/2019 17:59:12: -18,-29,SEND
03/04/2019 17:59:13: -22,-45,RUN
03/04/2019 17:59:13: -5,-11,SEND
03/04/2019 17:59:13: -22,-45,RUN
03/04/2019 17:59:13: -4,-11,SEND
03/04/2019 17:59:13: -2,-11,SEND
03/04/2019 17:59:14: 0,0,STOP
03/04/2019 17:59:14: -2,-11,RUN
03/04/2019 17:59:14: -2,-10,SEND
03/04/2019 17:59:14: -2,-11,RUN
03/04/2019 17:59:15: -2,-10,SEND
03/04/2019 17:59:15: -2,-10,RUN
03/04/2019 17:59:21: -2,-10,SEND
03/04/2019 17:59:27: -2,-10,SEND
03/04/2019 17:59:33: -2,-10,SEND
03/04/2019 17:59:39: -2,-10,SEND
03/04/2019 17:59:44: -2,-10,SEND
03/04/2019 17:59:50: -2,-10,SEND
03/04/2019 17:59:56: -2,-10,SEND
03/04/2019 18:00:02: -2,-10,SEND
03/04/2019 18:00:08: -2,-10,SEND
03/04/2019 18:00:13: -2,-10,SEND
03/04/2019 18:00:19: -2,-10,SEND
03/04/2019 18:00:25: -2,-10,SEND
03/04/2019 18:00:31: -2,-10,SEND
03/04/2019 18:00:37: -2,-10,SEND
03/04/2019 18:00:43: -2,-10,SEND
03/04/2019 18:00:49: -2,-10,SEND
03/04/2019 18:00:54: -2,-10,SEND
03/04/2019 18:01:00: -2,-10,SEND
03/04/2019 18:01:06: -2,-10,SEND
03/04/2019 18:01:12: -2,-10,SEND
03/04/2019 18:01:18: -2,-10,SEND
03/04/2019 18:01:23: -2,-10,SEND
03/04/2019 18:01:29: -2,-10,SEND
03/04/2019 18:01:35: -2,-10,SEND
03/04/2019 18:01:41: -2,-10,SEND
03/04/2019 18:01:47: -2,-10,SEND
03/04/2019 18:01:52: -2,-10,SEND
03/04/2019 18:01:58: -2,-10,SEND
03/04/2019 18:02:04: -2,-10,SEND
03/04/2019 18:02:10: -2,-10,SEND
03/04/2019 18:02:15: -2,-10,SEND
03/04/2019 18:02:21: -2,-10,SEND
03/04/2019 18:02:27: -2,-10,SEND
03/04/2019 18:02:33: -2,-10,SEND
03/04/2019 18:02:38: -2,-10,SEND
03/04/2019 18:02:44: -2,-10,SEND
03/04/2019 18:02:50: -2,-10,SEND
03/04/2019 18:02:56: -2,-10,SEND
03/04/2019 18:03:02: -2,-10,SEND
03/04/2019 18:03:08: -2,-10,SEND
03/04/2019 18:03:14: -2,-10,SEND
03/04/2019 18:03:20: -2,-10,SEND
03/04/2019 18:03:26: -2,-10,SEND
03/04/2019 18:03:32: -2,-10,SEND
